GASBAG	Wind source
GOSH	"Yipe!"
ASPIC	Jellied dish
SCENA	Extended operatic solo
BALDEAGLE	Quarter back
ARLISS	Onetime HBO sitcom
GST	Prime meridian std.
AMPSUP	Escalates
ACERS	Deliverers of the unreturnable
MYRA	Hess who was a dame
PROMPT	Cue
SAS	Airline to Stockholm
UNEARTHS	Digs up
POSIT	Propose
GOUACHE	Watercolor technique
GERALDO	Mustachioed TV muckraker
ONO	Plastic ___ Band
ULA	Suffix with form
AARON	Perennial N.L. leader of old
CCING	Sharing a memo with
HENCE	For this reason
EDGER	Lawn gadget
OSCARS	Annual event held at the Kodak Theater, with "the"
CYRANO	Hero known for his nose
ENLACED	Intertwined
SPELLTHEROSES	Give Axl and Pete a break?
HARING	1980s street artist Keith
ROARING	Like the Twenties
HINDI	Language that gave us "pajamas"
ARAM	Saroyan's "My Name Is ___"
AIDA	Elton John/Tim Rice musical
DAPPLE	Spot
ONCE	A bit more than never
CAESARS	___ Palace
ATAN	___ impasse
PORTALDANGER	Tripping over a threshold, perhaps?
OAT	Dobbin's nibble
DAD	"Dear old" guy
ASST	___ mgr.
ASTI	Bubbly place?
STAT	Carries, e.g.
STANCE	Batting coach's concern
PDAS	BlackBerry and others, for short
CLOG	Footwear that's hard to run in
CBER	One with a handle
LOLA	"Damn Yankees" vamp
OILY	Too suave
ANAT	Art school subj.
APEEP	Without ___ (quietly)
THEPODSQUAD	Pea farmers?
ETC	Series finale?
QUILT	What a bee produces
URSA	"Superman II" villainess
ABIT	Some
DOTE	Favor cloyingly, with "on"
BOILINGPAD	Summer apartment with no air-conditioning?
INFUN	Just for laughs
DIET	Many a New Year's resolution
STL	Home of the Blues: Abbr.
TURBO	Powerful engine
ELLEN	Barkin of "Sea of Love"
ENID	English author Blyton
DRAGS	Pulls
CEOS	Co. bigwigs
ORCA	1977 thriller co-starring Bo Derek
SAKS	"The Odd Couple" director
ISIT	"___ true?"
RAY	Solar ___
FLEECER	Swindler
LLDS	Some legal scholars, for short
ELOI	"The Time Machine'" race
RANLATE	Went long
NEHRU	Co-founder of the Nonaligned Movement
FULLPETALJACKET	Floral Technicolor dreamcoat?
FUSSY	Fastidious
LOIS	Lane in Metropolis
JUNTAS	Postrevolutionary councils
ALEUT	Language akin to Yupik
ELMUNDO	Madrid newspaper
ERIN	A Walton
LYLE	Singer Lovett
MEOW	"What's New Pussycat?" response?
GOULASH	This-and-that preparation
IOS	Island near Naxos
INFO	Poop
ODIE	Comics canine
SONS	End of some firm names
RYES	Certain grains
SICS	Sets (on)
CAPOTE	2005 Hoffman title role
SWE	Winter Olympics powerhouse: Abbr.
SINE	Fourier series function
RONDO	Lively sonata movement
OFFSEASON	Summer at a ski resort, e.g.
ILOST	Pauline Kael's "___ It at the Movies"
TOMB	Taj Mahal, e.g.
AWE	Blow away
ETIOLATE	Bleach
STUDPUFFIN	Strutting bird on an ice floe?
DOREEN	One of the original Mouseketeers
PINA	___ cloth (lingerie fabric)
NEWYORKPETS	Residents at a Manhattan A.S.P.C.A.?
RIO	1983 Duran Duran hit
KLUTZES	China shop personae non gratae
SSW	Orlando-to-Ft. Myers dir.
ATOI	Yours, in Giverny
FOES	Nemeses
MILO	Actor Ventimiglia of "Heroes"
ISIS	DC Comics superheroine
INASEC	Shortly
RNAS	Genetic molecules
ALLURE	Attraction
PANABOUTTOWN	Move a movie camera around a community?
PABLO	Literature Nobelist Neruda
APEAR	"... in ___ tree"
NERVE	Audacity
ARLES	Bizet suite "The Girl From ___"
TAPED	Attached, in a way
DEALERS	Some casino staff
DROSS	Chaff
RHINE	River straddled by Basel, Switzerland
STOIC	Impassive
APER	Little or Short
TEAL	Greenish-blue
AARE	Interlaken's river
ACRE	Homeland plot?
LAHTI	Emmy-winning co-star of "Chicago Hope"
INCA	Cuzco inhabitant
BERLIOZ	"Symphonie Fantastique" composer
IRT	N.Y.C. subway line
ONE	A wee hour
PASSCONFUSION	Explanation for an interception?
SHU	Moo ___ pork
FIS	Hi-___
LAVERNE	One of the Andrews Sisters
ETHERS	Early anesthetics
IRONIC	Like some Swift writing
ORESTES	Electra's brother
DEUCES	Twos
SENECA	___ Falls, N.Y.
