ACS	Window boxes, for short?
ASSAY	Mineralogist's job
CATGUT	String once used for cellos
SLOUCH	Not sit up
AGRI	Prefix with business
ANY	Whatever
GPO	Mailing HQ
REFI	Altered mortgage, briefly
IPOD	Touch, for one
ABSCAM	F.B.I. scandal of the 1970s-'80s
AGO	Past
BIN	Storage unit
SLEW	Plethora
CREEPY	Unsettling
AORTAE	Blood lines
MYSTIC	Seer
JORJA	Actress Fox of "CSI"
JAN	Start of the yr.
OLA	Suffix with Cray-
RAZORBLADE	Fuzz buster?
JAZZGUITAR	Duke Ellington band instrument
AMYS	Carter and Adams
SALTNPEPA	"Let's Talk About Sex" hip-hop group
TRACE	Slightest residue
APING	Mimicry
GILROY	Tony who directed "Michael Clayton"
SALAAM	Not just a little bow
SSR	Lith., e.g., once
STORYOFOPIONEERS	Plot of a Willa Cather novel?
IDIOT	Boob
SNAZZY	Cool-looking
AGUA	Río contents
IDID	"Look what ___!"
WETTER	Not so dry
ELOISE	Kay Thompson title character
OZS	Lb. parts
YUCCAS	Desert bloomers
ALP	Savoy peak
SOLOED	Was helpless?
NINA	Ship to the New World
NOI	"There is ___ in 'team'"
ADLAI	Stevenson of Illinois
PAIL	Beachgoer's item
BORG	Tennis star nicknamed "Ice Man"
BUS	Kind of line
OMAHAN	Marlon Brando, by birth
THELONGGOODBYECOLUMBUS	Unabridged version of a Philip Roth novella?
NORW	Neighbor of Swed.
GYRO	Spinner
BLINI	Russian pancakes
LTS	Some blockers: Abbr.
SEEM	Feel like
PLOY	Maneuver
TILL	Prepare for planting
ITSALIE	"Don't believe that!"
ASIS	Warts and all
ALSO	Too
SINGH	Indian P.M. Manmohan ___
ITALO	Author Calvino
STREW	Throw around
ORRS	Bobby and others
SMOTE	Hit hard
AIMLESS	Drifting
MLS	Goal-oriented grp.?
LOT	Shooting site
EVOKED	Brought to mind
HATE	"Authority is never without ___": Euripides
LITTLEWOMENINLOVE	Pocket edition of a D. H. Lawrence novel?
LESAGE	"Gil Blas" author
EVEN	Still
NASD	Former Wall St. inits.
ADAM	Singer Lambert
SNARED	Trapped
OVA	Things that go through tubes
ISTO	Analogy part
ASNER	Ed who provided the lead voice in "Up"
ARF	Toy sound?
SAFARI	Firefox alternative
OGLES	Eyes
APTEST	Most likely
ADM	Byrd's rank: Abbr.
PSYCHO	Film with the line "Oh, we have 12 vacancies. 12 cabins, 12 vacancies"
TOP	Beat
KYRA	"The Closer" star Sedgwick
YAY	Celebratory cry
HOWARDSENDOFTHEAFFAIR	"Frost/Nixon" director's copy of a Graham Greene novel?
RAD	"Lovely!," in dated slang
FACT	It's undeniable
TROD	Stepped
HOBOS	Vagrants
ALEXA	Vega of "Spy Kids"
ITSON	Fight announcement
RASTA	Bob Marley, e.g.
GAMY	No longer fresh
PARODY	Takeoff
ALTAR	Bachelor's end?
RYES	Deli supplies
JADED	Weary
JOSSWHEDON	"Buffy the Vampire Slayer" creator
AFTERASORT	Roughly
DAHLIA	Flower once cultivated for food
CLAY	It's molded
LET	Rent
ALA	___ mode
YACHT	Marina sight
COB	Ear part
DRESSY	Not casual
DURBAN	South African city of 2.5+ million
SOFA	Convertible, maybe
SETA	Biological bristle
THELASTDONQUIXOTE	Final copy of a Cervantes novel?
TITLES	Mr. and Mrs.
STOIC	Giving nothing away, in a way
NAAN	Bread with chicken tikka masala
QUAD	College locale
ESTH	O.T. book read at Purim
RIOTACT	It's read to the rowdy
ROK	Seoul soldier
SAUR	Suffix at a natural history museum
ANAS	Literary collections
TSELIOT	1948 Literature Nobelist
INS	Election winners
HOTS	Red ___
TMI	"I don't need to hear that!," informally
SEEYA	"Ciao!"
AABA	Form of many Tin Pan Alley tunes
AGA	Ottoman honorific
AWRINKLEINTIMEANDAGAIN	Creased copy of a Jack Finney novel?
EMBARS	Locks up
IMARET	Ottoman hospice
NECTAR	Sweet drink
ALERO	Old Olds
ARTEL	Soviet co-op
INHALE	Not just puff
NIECES	"Uncle!" criers, perhaps
HAAS	Tennis star Tommy
EMME	One-named supermodel
CIEL	Sky: Fr.
NARNIA	C. S. Lewis land
AYERS	Australia's ___ Rock
LES	Louvre article?
LIMO	Stretch ___
JSBACH	Mass producer, for short
JOE	One of the Jonas brothers
HORA	Dance typically done to "Hava Nagila"
YETI	Himalayan legend
TALC	Rash preventer
INDO	Intro to Chinese?
THEY	Community hangout, informally
IDOTOO	"Same here"
TOW	Drag
OSO	Bolivian bear
ARTOFWARANDPEACE	Illustrations in a Leo Tolstoy novel?
FEY	Noted Palin impressionist
WDS	O.E.D. entries: Abbr.
DYE	Coloring
PEN	Where you might find a long sentence?
MOROSE	Sour
REARED	Brought up
OLDYELLER	1957 film dog
ONTWO	How a call may be picked up at the office
STRAYS	They get added to pounds
COEN	"A Serious Man" co-director, 2009
ESS	Head of state?
