REDUCESPEED	Construction zone sign
RADIATE	Throw off
ERECTS	Puts up
DISH	Knockout
UTA	Hagen of stage and screen
CORPORATERAIDER	Carl Icahn or T. Boone Pickens
ENGAGES	Attracts
SEASONPREMIERES	September happenings, often
PSST	Tip preceder, maybe
EASEL	Oil support
EXODUS	Escapist reading?
DESOTOS	Firedome and Fireflite
BARITONESAXES	Band pieces
BIRNEY	David of "St. Elsewhere"
SEWELL	"Black Beauty" author
WIDESARGASSOSEA	Jean Rhys opus
WEAVE	Hair extension
ANDOR	Some choice words
ERICH	Psychoanalyst Fromm
PASTEDOWN	Affix securely
ANAT	Coroner's subj.
TOGO	Deli option
TARMAC	Touchdown locale
LUTED	Performed as a minstrel, maybe
VETS	Ones doing lab exams?
ARENT	Ain't right?
TEASET	Sideboard collection
SOLO	Dixie rival
EYE	Ball in a socket
GRASPED	Saw
GEM	Peach
DET	Cannon, e.g.: Abbr.
SLR	Big inits. in photography
EMT	Possible IV pusher
RAE	1971 Tony-winning actress ___ Allen
CDC	Atlanta-based org.
CRAIG	First blond Bond
DERMOT	Actor Mulroney of "The Wedding Date"
CARPORT	End of many a driveway
MAEWEST	She quipped "I've been in more laps than a napkin"
WEBSITE	Free cookie distributor
WED	Night that "Dynasty" aired for most of its run: Abbr.
WALKONS	They sometimes create a scene
ENBERG	Sportscaster Dick
DEARY	"My pet"
REAM	Curse out
MARGIE	"My little" girl of early TV
CREME	___ de Noyaux (almond-flavored liqueur)
BANE	Anathema
BEATIT	Get lost
ARRAY	Line up
YELPS	Dog park noises
ABIT	Slightly
ELBA	Island off the coast of Tuscany
IMPRECISE	Vague
CELT	Invader of Rome in 390 B.C.
MAKER	God, with "the"
MCML	Credits date for "Cinderella" or "All About Eve"
GOOGLEDIRECTORY	Aid to researching 35-Downs by topic
EAU	___ de parfum
TRIPLETEAMING	Ganging up on, in basketball
TESTRESULTS	What patients may need patience to get
