BLOGS	Electronic journals
BROW	Knitted body part
LONI	Actress Anderson
OMEN	Divine sign
GETSMART	Wise up
SOW	Piglet's mother
TAFFY	Stretchy candy
TAPINS	Gimme putts
ALUM	Homecoming guest
FIN	Swimming aid
FCC	Obscenity watcher: Abbr.
YEHUDI	Violinist Menuhin
CIA	The elder Geo. Bush once headed it
CARPOOLING	Fuel-saving strategy
IMPEL	Motivate
ASIDE	Stage mutter
ROMEO	Lover boy
ALICE	Trixie's best friend, on TV
AMS	Some rush-hour periods: Abbr.
ONETWOPUNCH	Pair of socks?
OTOE	Plains tribe
RPI	Sch. in Troy, N.Y.
WINS	Comes out on top
TIM	Funny Conway
UMPED	Called strikes and balls
MPG	Driver's stat.
MOON	It turns the tide
OLAN	Pearl Buck heroine
TADPOLE	Frog-to-be
TIKI	Polynesian pendant
ANON	See 38-Down
IMPALES	Spears
IMPS	Bratty types
MEAN	Nasty
PARLORGAME	Charades, e.g.
INIGO	Architect Jones
MEARA	Stiller's comedy partner
TKO	Stat for Ali
TSE	Philosopher Lao-___
LAB	Science class feature
AMIE	French gal pal
BEND	Give a bit
PARTNERSINCRIME	Pair of sneakers?
EVER	___ and 27-Down (for all time)
REDD	Comic Foxx
CRAM	Burn the midnight oil, student-style
RAGPAPER	Linen pulp product
SNL	Lorne Michaels show, for short
VEE	Neckline shape
RANIN	Took to the station house
OWNED	Confessed, with "up"
WWI	It ended at 11:00 on 11/11
NACHOS	Crispy snacks
SNAGGED	Caught, as with a tree limb
STMARY	Beatified mother
NEON	Dodge model
FORWARD	"March!" opener
FLIRT	Coquette
OOMPH	Get-up-and-go
TEMP	Time's partner, in brief
LOGIC	Means to solving a sudoku puzzle
AMO	I love, in Mexico
AFEW	Not many
ARIA	"Tosca" number
RULE	Be a monarch
IFFY	In doubt
AFTS	Backs of boats
IMA	Britney Spears's "___ Slave 4 U"
HUFFANDPUFF	Pair of pants?
UGH	"Ick!"
FLO	Andy Capp's wife
DDT	Banned insecticide
RPM	Engine speed, for short
OGLER	Lustful looker
DELFT	Dutch pottery
THE	It's definite
SHOWY	Ostentatious
TREYS	Low cards
