NABOB	Mogul
NAH	"Uh-uh"
ADO	Pother
BOW	A violinist might use one or take one
OZAWA	Shenyang-born conductor
BERYLS	Jewelers' offerings
CAR	One for the road
CARTERS	Some Teamsters
ALOHA	Hello or goodbye
RAPT	Absorbed
OPTS	Declines to take part, with "out"
OSIERS	Basketmaker's supplies
PHARYNGES	Links to esophagi
TATE	New Criticism poet Allen ___
SHEA	Queens diamond holder
ASTUTE	Keen
ASTRID	___ Lindgren, creator of Pippi Longstocking
STOOP	Urban sitting place
TOMBOYISH	Not so feminine
URAL	River to the Caspian
TETE	Béret setting
EDOM	Another name for the biblical Esau
ADOZE	Napping
ALA	Mobile home?: Abbr.
SHAH	He ran from Iran
STORED	In the attic
HOWARPROPRIATE	"That's very fitting!"
PEST	Ant, maybe
RHOS	Fraternity characters
TOMATO	Paste ingredient
WYETHTHEREAPROBLEM	"You're not O.K. with that, bub?"
PLOP	When repeated, start of an old antacid jingle
CORALSEA	Scene of a May 1942 U.S. victory in W.W. II
CARAWAY	Bagel topper
OPERAND	Mathematical quantity acted upon
ROBERTS	Best Actress of 2000
ORY	Suffix with access
LIPO	Fat removal, for short
APO	Mail letters
STR	Orchestra sect.
ASSN	Org.
AGATHA	First name in mysteries
SOD	Groundskeeper's supply
SOSOON	"This early?"
YELL	Try to reach the hard-of-hearing?
ELSE	"What ___?"
LEER	Look of lust
LSD	It was dropped in the 60's
REBS	Union strikers
SOHO	Gallery area
SAG	Give in to gravity
AYN	Author Rand
GOOP	Mud
ORT	Table scrap
TILES	Game player's rackful
TITO	One of the Jacksons
AREOLA	Ring of color
LON	First name in horror
ALY	___ Khan
YAWNERS	They're boring
WHIZ	Brainiac
NINEPIN	Certain bowling target
KISSED	Barely touched
KEN	Scope
WARHOLINTHISTOGETHER	"It's a group effort, guys!"
IMAGE	Conception
GETTY	Los Angeles attraction, with "the"
ANTONYM	Top to bottom
HIN	Ancient Hebrew liquid measure
OENO	Prefix with -phile
YDS	Fabric purchase: Abbr.
AMAZEMENT	Awe
MAGPIE	Rossini's "The Thieving ___"
MOSE	Jazz pianist Allison
ELATES	Makes up?
FAR	Away's partner
FAILURE	Bomb
ATTIRES	Decks out
REHANGS	Fixes at a gallery
TOGA	Kind of party
TSAR	Old monarch
ODD	"That's ___ ..."
POL	Party member, maybe
TESTATE	Not unwilling?
EOE	Want ad inits.
SUM	What to pay
TWIT	Hardly a brainiac
WHOSDEGASISAWYOUWITH	"Is that a new man you're dating?"
WORE	Sported
HOME	Directive to a chauffeur
ODOMETERS	They go on for miles
ARE	What may follow you
SORESPOTS	Objects of much ribbing
WOP	Doo-___
DOODAD	Thingamajig
DAD	Pop
PRONETO	Predisposed about
EMILIA	Iago's wife
ARMOR	Tanks and such
TIER	Rank
TECH	Kind of support
EPI	Prefix with dermis
IVANHOE	Novel that includes Robin Hood
TURN	Spoil
DEEM	Hold
GEE	Go right
GENIES	They need bottle openers
ETDS	LAX info
THEWHO	1990 Rock and Roll Hall of Fame inductees
DORM	Campus site
VAN	Sliding door site
ARIE	"Acoustic Soul" singer India.___
NETMAN	Court figure
REG	Like some gas: Abbr.
ELEC	Wire transfer?: Abbr.
LARGE	Grande
SHO	Heading in cable TV listings
BARENESS	Nudity
BUTCH	Haircut style
NYALA	African antelope
WHATANHOPPERTUNITY	"This could lead to something big!"
WHET	Stimulate
HUME	"An Enquiry Concerning Human Understanding" essayist
AMEN	Word of agreement
OSLO	Ibsen's home
PHIS	Diameter symbols, in math
TENS	Counting method
HUMERI	Ulnae neighbors
SHOWMETHEMANET	"I demand to see cash up-front!"
NIT	Lousy egg?
EVA	Popular Perón
TEL	Business card abbr.
EMERGE	Surface
LITH	An S.S.R.
NCO	Sarge, for one
ALIVE	Bubbly
TENSES	Freezes up
OSSO	___ buco
SHE	Doe or heifer
NATAL	Where Pietermaritzburg is
