ACME	Top
ANDRE	Tennis's Agassi
COOED	Murmured
MINDS	Watches, as a store
ERASES	Wipes clean
AER	___ Lingus
AJAX	Comet competitor
ELM	Nightmarish street, in film
ROSSI	Martini & ___ vermouth
TSETSE	Sleeping sickness transmitter
TORAHS	Hebrew scrolls
SPORTY	Like Corvettes and Mustangs
EEG	Brain scan, for short
TREASURER	Money manager
SARDI	Famed New York restaurateur
ESSEX	Elizabethan earl
NOIR	Film ___ (movie genre)
JLO	Multiplatinum album with the 2002 hit "Ain't It Funny"
OPERAS	Met productions
DONADAMS	Star of 64-Across
DOLLED	Dressed (up)
ROGERS	Dancer Ginger
REDSOX	2004 World Series "curse" beaters
SPAR	Exchange blows
PGA	Links org.
ADE	Summer drink
EDSEL	Henry Ford's son
EIGHTYSIX	Number of 17-Across in 64-Across
ERNO	Rubik who invented Rubik's Cube
YOGI	Bear or Berra
SLUR	Putdown
UEY	180° turn, slangily
ASYOU	Shakespeare's "___ Like It"
TNT	Explosive
TWA	Bygone carrier
NOW	"This instant!"
TURBOJETS	Some airplanes
EENY	"___, meeny, miney, mo"
YUM	"Tasty!"
GRIT	Sand
IVY	Old-fashioned Christmas trim
TEE	Summer shirt
WOULDYOUBELIEVE	Catchphrase of 25-Across
LYRE	Ancient Greek instrument
BORE	Yawn inducer
ENO	British musician Brian
LASSOS	Ropes in
AWRY	Out of kilter
MONA	"___ Lisa"
RYE	Bread with seeds
BRUSH	Paint palette accompanier
UPLATE	Still awake at 1 a.m., say
SHARER	Generous one
HON	Darlin'
ROSA	Artist Bonheur
ANIMAL	20 Questions category
SHOEPHONE	Gadget for 25-Across
STORM	Tempest
HANOI	Vietnam's capital
NEGEV	Israeli desert
SNIFF	Check for odors
IRATE	Angered
FERMI	Physicist Enrico
FETES	Honors in style
TAJ	___ Mahal
LANE	Part of an interstate
SOIREE	Quite the party
STOW	Pack away
ONECAR	Small garage capacity
CAT	Cool dude, in jazz
GETSMART	Campy 1960's hit sitcom
ELF	Keebler baker, supposedly
ROTATE	Spin
ELO	"Xanadu" band, for short
ATME	"Don't look ___!"
MISTER	Fellow
VFW	Ex-G.I.'s grp.
LEIS	Gifts at Honolulu International Airport
