GLACE	Frozen dessert in France
GRAF	Five-time U.S. Open champ
LILO	Disney title character from Hawaii
AVIS	Hertz rival
CAESAR	Husband of Pompeia
ELNINO	Cause of some storms
JAWS	Vise parts
JAR	Big bump
ALAS	Word said with a tear, maybe
WAFT	Ride the breeze
SITE	Web presence
SSNS	Personnel IDs
SAPPHO	Plato's "tenth Muse"
STALED	Lost zip
NICEONE	"Good comeback!"
STE	Chateau ___ Michelle winery
OBAMA	Michelle Robinson, now
OAKTAG	Art supply store stock
BREATHS	Inspirations
AINT	"___ No Woman," 1973 hit for the Four Tops
MENU	Computer offering
ASYE	"___ sow ..."
RIVAL	Nearby school, maybe
ALAI	Jai ___
ATIT	"While you're ___ ..."
ARIES	First sign
ALIENCRAFTSPACE	Where ETs do knitting and art?
CLOG	Jam
SERO	Blood fluid: Prefix
KENNY	Country singer Chesney
FOSSIL	Old fogy
STEEPLE	Bell site
STATUE	David, for one
STINGS	Undercover jobs
ANOD	Give ___ (say O.K.)
DEAF	Not to be persuaded
RHEOSTAT	Current regulator
SEEP	Ooze
MRROGERSHOODNEIGHBOR	Thug living next to humorist Will?
MTAPO	Philippines' highest peak: Abbr.
RANON	Blathered
RRR	Growling sound
STET	[Ignore edit]
HEMA	Blood: Prefix
BIMBO	Airhead
OLSEN	Colleague of Lane and Kent
ROUTS	No contests
WTA	Org. for Venus and Serena Williams
WHOS	"___ next?"
ARTE	Comical Johnson
EEN	Keats's nightfall
SILO	Place for grain
HANDOFFREMARK	"Get that first down ... and don't fumble"?
DRAPER	Clothier, in Cambridge
OTTOMAN	Hassock
FOIL	Thwart
ARUGULA	Salad green
RAMS	Super Bowl XXXIV champs
KWAI	Famous movie river
PGS	Book contents: Abbr.
SONNETS	Milton works
MSU	Home of the N.C.A.A. Spartans
OPORTO	Wine city north of Lisbon
TARAWA	Pacific atoll in 1943 fighting
ASTR	Observatory subj.
SORBET	Frozen dessert
REGRET	Kick oneself over
SONATINA	Shortish piano piece
NEI	"In the," in Italy
AFRO	Place to stick a comb
UMASS	Home of the N.C.A.A. Minutemen
STY	"Charlotte's Web" setting
NEONS	Bright lights
POLEFLAGSITTING	Watching over Warsaw's national emblem?
LAVA	Pumice source
ABUT	Be flush with
IDOL	Pedestal topper
ADREM	Relevant, in law
ASCAP	Royalties org.
DEALS	Passes out
RUDDY	Like some complexions
IRABU	Former Yankee pitcher Hideki
RYDERCUP	Biennial golf competition
CLARA	"Bewitched" aunt
ULNAR	___ nerve
PODS	Sci-fi escape vehicles
SEURAT	"Parade de Cirque" artist
TABOOS	They're just not done
OVULES	Future seeds
ESTA	Spanish demonstrative
STOL	Small-runway aircraft, briefly
OTELLO	Verdi tragedy
CAD	Ill-mannered one
NAM	"Platoon" setting, for short
MILK	Standard part of a food pyramid
ATASTILLSTAND	Waiting in line for hooch?
INF	Like Saint-Saëns's "Urbs Roma" Symphony
LEAR	Norman of TV fame
ALDA	Alan of Hollywood
ACTUATE	Impel
BIC	Pen name
CONCEDE	Say "I lost," say
TONE	Skin ___
RAS	Dorm V.I.P.'s
PSYCHOLOGICALFAREWAR	Competition among shrinks?
HORTON	Dr. Seuss title animal
GOOSES	Spurs
ITSHOT	"Boy, am I shvitzing!"
CETA	Job legislation estab. in 1973
ROAM	Stray
ESSENE	Dead Sea Scrolls writer
WAHOOS	Exuberant cries
TOOKNOTE	Paid attention to, with "of"
ROSA	Santa ___
FEMURS	Long bones
FAQS	Recommended reading for newbies
ETUI	Thread holder
MEIR	Kiev-born Israeli P.M.
COSTUME	Halloween purchase
ULAN	___ Bator, Mongolia
MLVI	10 years before the Battle of Hastings
ECON	Nobel Prize category: Abbr.
ASHPIT	Fireplace cavity
PVTS	A lot of mil. personnel
IERE	"Able was ___ ..."
TREX	Creature in a "King Kong" fight
ATEAT	Gave heartburn, say
WESHALLCOMEOVER	Visitors' fair warning?
WIZ	Guru
OWE	Fall behind
QUITO	Capital city more than 9,000 feet above sea level
IDEO	Prefix with logical
AVOW	Maintain
NOTRE	Start of the French Lord's Prayer
SIREN	Temptress
ZEST	Relish
NINE	Round of golf, informally
ESSEX	County of Newark, N.J.
