RCMP	Dudley Do-Right's org.
ROSETTA	Stone discovery site
CHARIOTS	"Ben-Hur" racers
MONSANTO	Global agricultural company
PHD	Advanced deg.
TWANG	Banjo sound
TWOCAR	Kind of garage
WALLS	Masons' creations
ATLAS	Muscular Charles
NEA	Union with 3+ million members, in brief
GRR	Junkyard dog's greeting
CAMS	Video recorders, briefly
CALEB	Novelist Carr
AMINUS	Pretty good grade
MENSCH	Stand-up guy
SNEAKY	Deceitful
OHOH	Anticipatory cry
WATER	Tend to, as plants
AMEN	"So true!"
SANDDOLLAR	Disk-shaped sea creature
DUPE	Hornswoggle
LINE	Bit of dialogue
ERS	Oral hesitations
UCLA	Bruins' sch.
MENSA	High-I.Q. crew
MEDIC	Battlefield doc
TIA	Actress Carrere
PASSTHEBUCK	Shift blame to another
TESLA	Rival of Edison
HTML	WWW code
TONIER	More posh
INFO	"For more ___ ..."
ETD	Approx. takeoff hour
SHY	Bashful
ATTN	Routing abbr.
COSMIC	Immeasurably vast
CHILI	Hot dog topper
OED	U.K. lexicon
CLAP	Sound of thunder
SOFTSHELLCLAM	Chowder ingredient
TRAPS	Golf hazards
SEWS	Wields a needle
ANECDOTE	Short reminiscence
MARIANAS	___ Trench (deepest point on Earth's surface)
OREIDA	Tater Tots brand
ANAS	Santa ___ (hot California winds)
SEGMENT	Orange part, e.g.
ACH	Exclamation in Berlin
ABLAZE	In flames
CLIMAX	Part of a book where you're unlikely to stop
HORACE	Poet who originated the phrase "harmony in discord"
AWL	Leatherworker's tool
AMPERE	Current unit
ALEUTS	Indigenous Alaskans
MELL	Pell-___
BLOOPSINGLE	Hit that just clears the infield
OATHS	Courtroom rituals
NARCS	Feds who make busts
GUMUP	Ruin, informally
CIG	Short smoke?
LIRAS	Turkish money
AUEL	Jean who wrote "The Clan of the Cave Bear"
DAM	Hydroelectric project
AMAT	"He loves," in Latin
FORMULAONE	Auto-racing designation
FUR	Stole material
ONA	"Not ___ bet!"
ASP	African slitherer
ZACH	"Scrubs" actor Braff
UNCUT	Not abridged
STAN	Baseball great Musial
EXES	Ones who've been through divorce court
RASPS	Horseshoers' tools
PEST	Pain in the neck
