SCALD	Dump hot coffee on
SPASM	Something beyond your control
CULPA	Mea ___
ARILS	Seed covers
LEGIT	Kosher, so to speak
DENT	Fender blemish
PISH	Disdainful remark
POTPIE	TV dinner fare
INHALER	Asthmatic's device
STIR	Culinary directive
HOSTS	Inviters
GAFF	Hook with a handle
GOTAROUND	Bought drinks for everyone?
AVEC	With, to Maurice
FATE	Kismet
FLED	Skedaddled
PUREE	Turn to mush
ONTO	Not fooled by
OVAL	Stadium shape, maybe
ALIGN	Set straight
THIS	Not that
TETE	Noggin, in Nantes
SPLITAPART	Share the role?
ATHOME	Where a telecommuter works
ACED	Got 100 on
MAST	Crow's-nest site
TIL	Up to, in ads
SIR	Round Table title
INTROS	Emcees' lines
SHEEN	"The West Wing" star
SIERRA	"High ___" (Bogart classic)
NAB	Put the collar on
NOISE	Radio static, e.g.
IRAN	Persia, now
SERE	Like the Gobi
EDDY	Whirling current
EMILIO	Designer Pucci
EMMA	Austen novel
MEAL	One of three squares
ISNT	Ain't correct?
LEDASTRAY	Walked the mongrel?
RAPTURED	Ecstatic
PERIOD	"End of story!"
MESEEMS	"From my perspective," archaically
SLY	Stallone, to pals
BERNARD	The "B" in G.B.S.
MANDRELL	Barbara of country
LOWRISE	Building with just a few floors
RODNEY	Dangerfield who doesn't get any respect
ALTAR	Eucharist spot
YOGIS	63-Across and others
GOESON	Continues
SAT	Minded junior
TWEAK	Playful pinch
WOO	Seek the hand of
TADA	"I did it!"
THESE	The ones here
AERIE	Lofty perch
DARNS	Sews the hose
ADAGE	"Time is money," e.g.
WENT	Took one's turn
WORD	Scrabble formation
ENID	Author Bagnold
NOVA	Bygone Chevy
WIREDAHEAD	Provided electricity for the john?
ILLE	"Winnie ___ Pu"
ABUG	"Snug as ___ ..."
ONOR	"... ___ before the deadline"
ELIS	"Boola Boola" collegians
BERRA	Quotable Yankee
RIVA	1972 Kentucky Derby winner ___ Ridge
ALSO	What's more
USING	Taking advantage of
DDAY	June 6, 1944
KEEN	Sharp as a tack
GEESE	V-formation fliers
