JABBER	Yak
JELLOSHOT	Jigger that jiggles?
AQUAPLANE	Alternative to a water ski
BURSTOPEN	Begin to blossom
BIKESTAND	Lance Armstrong foundation?
ENERO	Hot month in Chile
REDSUN	Notable distinction for the planet Krypton
CARESFOR	Nurses, say
COMMODE	Where to go
ANTIFUR	Like some animal rights campaigns
RCAS	Some DVRs
EARPS	Legendary brothers in law
SMART	Sting
FERIA	Spanish festival
ORANG	Animal in Poe's "The Murders in the Rue Morgue"
RATTY	Run-down
EQUINE	Zebralike
ONCAMERA	Like anchors
LURKED	Kept one's own counsel, online
MTARARAT	Geographic feature depicted in the Armenian coat of arms
LASERS	Some pointers
MISPRINT	Big numismatic news
OPTSOUTOF	Steps away from
TOP	With 24-Across, number one position
STAGY	Forced, in a way
SLOT	See 22-Down
NODUH	"Obviously, Einstein!"
HIC	Minute Maid drink brand
HAPAX	___ legomenon (word or phrase used only once in a document or corpus)
XIA	Earliest recorded Chinese dynasty
PERIODIDE	Salt with the maximum proportion of element #53
OHS	Quaker cereal
DATEMYMOM	MTV reality show
INANIMATE	Lifeless
DETONATES	Sets off
EYELINERS	Parts of makeup kits
ONENIL	Common soccer score
LYS	Flower of Pâques
CHANEY	Star of "London After Midnight," 1927
TENDAYWAR	1991 conflict between Slovenia and Yugoslavia
WISEDUP	Saw the light
ANURANS	Frogs and toads
REP	One who stands for something
STATE	Western Australia, for example
SINEW	Brawn
WEBERN	Composer of "Das Augenlicht," 1935
ENOL	Compound with a double bond
NAPPA	Soft leather used in wallets, whose name derives from a place in California
NODAT	Tacitly acknowledge
ALITO	First justice alphabetically in the history of the Supreme Court
PEETE	First African-American golfer with 12 P.G.A. Tour wins
PATHS	They go places
ASSET	Plus
SUPERMINI	Volkswagen Polo, for one
ROXIO	CD-burning software company that bought Napster
OLEASTER	Shrub also known as Russian olive
TOGO	Neighbor of Ghana
BOYMAN	One suspended in adolescence
DIETSODA	Light mixer
EXMATE	Split personality?
ATTHEGUN	As time expires, in a football game
RIOTER	Street lighting specialist?
TOESTOPS	Roller skate features
NOMESS	Claim of convenience, in ads or otherwise
