REMAP	Make itinerary changes
REDID	Made over
EARLE	"Harlem Nocturne" composer Hagen
MRPSANDMAN	#1 hit for the Chordettes
ANKARA	Capital since 1923
PSI	___ particle
GAZA	Strip on the Mediterranean
GODDARD	Father of modern rocketry
AWAITS	Looks for
ZEROS	There are two per hundred
ADES	Fruity drinks
JEB	Gov. Bush of Florida
JANEEYRE	Novel published under the alias Currer Bell
EXURBIAS	Growing population areas
BEIRUT	American University locale
SMITH	One of about 2,400,000 in the United States
SON	Primogeniture beneficiary
MOVINAONUP	Mahalia Jackson autobiography
IHAD	"___ no idea!"
TOIL	Drudgery
HONE	Grind, maybe
EARNS	Isn't just given
OWED	Was in the hole
AXE	Instrument, in jazz lingo
BOOHOO	More than whimper
BIRDS	Flight engineers?
DRPKILDARE	Medical resident of 60's TV
LAMENTS	Speaks elegiacally
NUI	Rapa ___ (Easter Island)
INVAIN	Fruitlessly
ILSA	Café Américain visitor
ADIOS	"Later!"
ERROR	Computer ___
ORI	"...___ quit!" (ultimatum)
IDLE	Run at the curb
DEAR	Honey
MATS	Vaulters' landing places
REBURDEN	Charge with a new responsibility
RACHELCRACHEL	Paul Newman's directorial debut
ENDOR	Biblical witch's home
NAMERS	Stoolies, at times
MAILER	Padded envelope
SAYITISNATSO	Make a denial
SITSIN	Attends as a visitor, with "on"
TRILL	Voice lesson topic
SIZES	S and M
OSES	Sugar suffixes
ELD	Antiquity, in antiquity
EGAD	"By gar!"
LAVA	Hot stuff
AND	What's more
MICRA	Millionths of a meter
MAUVES	Purple dyes
DORIS	She played Julie in "Julie," 1956
GAMBIT	Ploy
BIT	Touch
BATHES	Suffuses
BRIBES	Buyoffs
LIONIZE	Put on a pedestal
LIBBY	Big name in vegetables
ISEE	"Of course!"
AVAILS	Serves
RUSE	Ploy
MISRULES	Abuses the throne
MOULDY	Torpedo, in British slang
DANTE	"La vita nuova" writer
CIVIL	Kind of engineer
CURTS	Baseball's Flood and others
ROBE	It's a cover-up
REPELS	Holds off
PLS	Some nouns: Abbr.
REUBENCREUBEN	Kelly McGillis's debut film, 1983
EIRE	Democracy since 1937
REPEAL	Lift
NUTRIA	Fur resembling beaver
MRI	Diagnostic proc.
MENLO	___ Park, Calif.
RAVEN	Ark's first disembarker
ICANATWAIT	Anticipatory exclamation
IRES	Furies
REPLY	E-mail option
UPTON	Author Sinclair
PEI	L'Enfant Plaza designer
TALKINGHTO	Reprimand
OSLO	City founded by Harald III
NESS	Loch ___
TEACARTS	Service stations?
TIED	Seven up, e.g.
ADATE	"It's ___!"
APED	Burlesqued
ATEASE	Hanging loose
ADELPHI	Long Island university
INVADES	Marauds
CICELY	Emmy-winning Tyson
CARTIERS	Jeweler Pierre and family
IGUANOID	Horned lizard, e.g.
DRILLS	Camp activity
ELENA	"Uncle Vanya" role
AGHAS	Muslim generals
LEI	Natural neckwear
LAMPREY	Hagfish relative
KOS	Flattens
DONATBECRUEL	#1 hit of 1956
BESTS	Worsts
ETA	LAX letters
CORRAL	Get one's head together?
SALAMI	Deli hanger
SIERRA	Environmentalists' magazine
MEAGER	Piddling
TEETOTAL	Stay dry
SIMP	Fool
SLEET	December forecast
ENDS	They may be split
DUDES	Gussies (up)
STOLE	That's a wrap!
GLOW	Be visibly elated
GREW	Deepened
LEDA	Helen's mother
ODDS	They may be against you
SARIN	Deadly nerve gas
ALEPH	Leader in Israel
ADDS	Goes on
AGUT	Bust ___ (laugh uproariously)
REDANT	Household pest
NEE	Part of a name
REO	Pierce-Arrow contemporary
DERRINGHDO	Heroics
NBA	Magic org.
EDDIES	Vortexes
ARI	Uris protagonist
DERE	"___ Mable" (W.W. I best seller)
BETEL	Some kind of a nut
WASTE	Nonrecyclables
LSD	It may make you see things
STAY	Corset part
AROSE	Didn't hit the snooze button
