GILT	With gold trim
GIBE	Taunt
IGAS	Certain supermarkets, for short
LOTT	Sen. Trent ___
TREASON	Benedict Arnold's crime
TORAH	Jewish text
TAMER	Bronco buster
ORO	Aztec treasure
ROT	Go bad
AMES	Iowa State University site
HALTS	Puts a stop to
IHOP	Breakfast restaurant chain
INSANE	Loony
HOLIDAYINN	"White Christmas" setting, 1942
ONIT	"Put a lid ___!"
POTS	Partner of pans
IGOR	Dr. Frankenstein's assistant
AROMA	Scent
NONO	Taboo
BATESMOTEL	"Psycho" setting
STUN	Flabbergast
SLIT	Buttonhole
ESTATE	Elvis's Graceland, e.g.
STRAITS	In dire ___
RATTY	Threadbare
SURGE	Sudden swelling
GARAGE	Auto repair shop
ENTRANT	Contest contestant
SAND	Contents of a playground box
ARGON	Radio tube gas
AWARD	Obie, for one
RODEO	Calgary Stampede, e.g.
GRANDHOTEL	Title setting for a 1932 Oscar film
ANT	Aardvark's nibble
TINTER	Hairdresser, at times
TEASE	Razz
SODAS	Fountain treats
EMOTE	Ham it up
WORN	Used
ARTIST	Winslow Homer, e.g.
ALE	London libation
SEE	Envision
YOM	Day in Jerusalem
ADA	Nabokov heroine
BLARNEY	Hooey
BLEED	Run in the wash
IDO	Bachelor's last words
REN	Stimpy's pal
LEGATE	Emissary
GNAT	Winged pest
GESTURE	Signal with the hands
DODGE	Jump out of the way
GENTLE	Not rough
ENE	Opposite WSW
SENSE	Pick up on
SPAS	Hot tubs
HEEL	Replaceable shoe part
LIPID	Biochemical compound
TRAPS	Snares
ATALE	Swift's "___ of a Tub"
BLONDIE	Dagwood's lady
BMOC	Univ. hotshot
LIRA	Money in Milan
ELMO	"Sesame Street" Muppet
TATTER	Rag
TIER	Bleacher feature
ETNA	Sicilian rumbler
REDS	Zinfandels
MITT	Item often kept on hand?
PLAZASUITE	Title setting for a Neil Simon play
APO	Sgt.'s mail drop
ZEN	Buddhist sect
OREL	Hurler Hershiser
IMPEL	Egg on
REND	Tear up
CALE	Yarborough of the Daytona 500
DOONE	"Lorna ___" (1869 novel)
ERAS	Slices of history
