CRI	___ de coeur
CLEARCUT	Plain as day
RANDOLPH	Air Force base near San Antonio
INTONATE	Speak with gravity
CAJOLED	Worked on
CARE	It may be managed or extended
AGORAS	Ancient meeting places
JESSE	19th-century James
OSE	Sugar ending
LASS	Filly
EGAN	New York cardinal
DORAG	Headwear banned by the N.F.L. in 2001
MEG	Ryan of "Top Gun"
MARINE	"Battle Cry" soldier
EDENIC	Like paradise
GADGET	Thingumbob
LAN	Computer system acronym
AGESAGO	Way, way back
ADA	Canine care grp.?
ENT	Tolkien creature
ROSESARERED	Start of a lover's quatrain
EKES	Just manages, with "out"
ADORERS	Big fans
RISHI	Hindu sage
SNAKING	Not straight, in a way
RONI	Rice-A-___
AES	1950s political inits.
SSSSSSS	1973 horror flick about a doctor who turns his assistant into a cobra
GENIE	Canadian Oscar
CLASPS	Holds
PENH	Phnom ___
SAS	Eur. carrier
ATIT	Having words
SIB	Bro or sis
SECT	Small denomination
UPTHE	___ ante
OSTIA	Port of ancient Rome
OILY	Like unwashed hair
ALAN	Mathematician Turing
THEINVISIBLEMAN	1897 novel subtitled "A Grotesque Romance"
VOL	TV control: Abbr.
ENATE	Maternally related
MINERALE	Eau ___
AMERICAN	Yank
NARRATED	Told tales
HOLST	Composer of "The Planets"
ANIMA	True inner self
TALL	One way to stand
TOMCAT	The Rum Tum Tugger, e.g.
APOLLO	New York theater on the National Register of Historic Places, with "the"
LINEAR	Like some algebra
LUKA	1987 Suzanne Vega hit
LYS	Fleur-de-___
INANER	Comparatively cockamamie
ITISNT	Words of objection
OPIUM	It's addictive
MENSA	Indicator of brightness
SGT	___ Maj.
GSUIT	Astronaut's attire
TERR	The Dakotas, once: Abbr.
MONKEES	#1 album for 13 weeks in 1966-67, with "The"
ESTD	Founded: Abbr.
SHEA	Where the Mets once met
SIBERIA	Where the Samoyed dog comes from
BESO	Don Juan's kiss
CLEANSHOUSE	Eliminates undesirable parts
OPP	Vs.
ACT	Pretense
ALA	According to
STEPINS	Panties, old-style
LAE	Pacific port where Amelia Earhart was last seen
TOR	Rocky point
ADAPTTO	Get comfortable with
END	This Across answer, appropriately
