OPTICAL	Kind of mouse
OFFBASE	Wrong
PARASKI	Go down a slope with a chute
TRESPASS	Do wrong
IGETIT	"Save the explanation"
COZEN	Flimflam
ANIS	French cordial flavoring
LEN	Perfect-game pitcher Barker
UNQUOTE	Indicator that you're back to your own words
UPDATE	Many a software download
NURSE	An operator may call on one
QTIP	Stick in a cabinet
UTZ	Snack food brand
OOZIER	More like the Blob
TULSAN	Certain Tornado Alley resident
ETERNE	Ageless, ages ago
FARGONE	Nearly shot
PUTTOUT	Sew up a hole?
FREEZINGDRIZZLE	Winter weather hazard
GROUCHOMARX	He said "I was married by a judge. I should have asked for a jury"
BASTES	Dresses down ... or butters up?
RASP	Scratch
ISR	Maccabiah Games setting: Abbr.
ASPIN	Defense secretary after Cheney
TOTE	Backpack alternative
TRAC	Star ___ (big name in exercise machines)
JEAN	Jacket material
JEST	What ribs are delivered in
SKAT	Game with trumps
TRUE	See 27-Down
TURN	Go time in a game
VERNE	"Five Weeks in a Balloon" author
VERY	With 26-Across, "Amen!"
EIS	Surface for the Olympische Winterspiele
HUAC	Antisubversive grp. of old
HAIR	Bit of evidence for a sleuth
YES	Jubilant cry
YALE	Ivy with deep roots
SEARCHPARTY	Group that may be hounded?
EDER	Fulda feeder
PREY	Food chain part
YMASUMAC	Princess Najla player in Broadway's "Flahooley"
DIN	Headache cause
ORLY	Hub for Air Caraïbes Atlantique
MOW	Do some course work
ONESIZE	Endlessly adjustable, as clothing
WIDENED	Diversified
ORDER	Primates vis-à-vis humans
OJIBWA	Native of the Lake Superior region
RESCAN	Checkout correction
DEHORN	Render harmless, in a way
SMEE	Barrie's "oddly genial man"
SLEETS	Falls like 17-Across
CANI	Tot's plea
CANADA	Where Family Day is observed
JEER	Stand-up comic's fear
PLAY	Latitude
PULSE	Good thing for a medic to find
CASED	Like some joints
COTAN	Trig ratio
ISH	Suffix with cartoon
AUER	"Rhapsodie Hongroise" composer
APEX	Mountaineer's goal
NONUSE	Cobwebs may be a sign of it
NINE	Complement of Dante's circles of hell
BCOMPLEXVITAMIN	Part of many a daily supplement
MME	Title of Dickens's Defarge: Abbr.
VIM	Punch
WARMEST	Like the midafternoon hours, typically
INADAZE	Foggy
ANNEXES	Takes over
MENACED	Waved a knife at, maybe
