WARS	Does battle
WAWA	Electric guitar effect
ABAS	Tunic toppers
REST	Take ten
STARER	Eyer
DEWARS	Name preceding "White Label"
DAR	Ladies' org. since 1890
EDER	Ems-Weser Canal feeder
WADED	Had water up to one's ankles
AGAVE	Tequila source
RESETS	You push these at bowling alleys and on VCR's
SSA	Lifeline for srs.
ERE	Afore
EXERT	Nudge (oneself)
REESE	Originator of a popular peanut butter cup
ESTER	Dimethyl sulfate, e.g.
ABET	Help hold up
ADAGES	They're often old and wise
XES	Frame fillers in a perfect bowling game
WASASREDASABEET	Exhibited severe embarrassment
SAVE	Not spend
BESETS	Assails
ASTRA	Latin stars
REVE	Enfant's dream
ERSE	Hebrides tongue
EVE	Title role for Anne Baxter, 1950
ESSE	Start of North Carolina's motto
DETESTER	Grimace maker, maybe
EASE	Relaxation
ADDRESS	North Pole, for Santa
ATTA	Encouraging start?
DAWG	TV toon Deputy ___
DEAR	Turtledove
SEWS	Embroiders
SAE	It might accompany a MS.
TAE	Stock ticker maker's inits.
SERF	Underclassman?
RAE	Leachman replaced her on "The Facts of Life"
FRED	Ethel's sitcom husband
STETS	Dele undoers
ESQS	Honorifics for attys.
TETE	Tours head
SSRS	Lith. and Ukr., once
TWASTEWARDESSES	Employees who once went up, up and away
SEDERS	Lighted-candle occasions
TEAT	Animal milk source
DREW	Sketched
AGREE	Please, with "with"
SEER	"Your Future" sign displayer
QTR	Time unit in basketball: Abbr.
DAS	Hearing figs.
STATES	North and South Dakota
DEBASES	Cheapens
BEST	Informal letter closing
ABCDEF	Alphabet start
GAZETTES	Uncommercial periodicals
GASES	Terrific times, slangily
AVERT	Not let happen
ZETAS	Olympian Z's
EGADS	"Criminy!"
SERGE	Durable fabric
WEB	Output of an arachnid
AVER	Testify
AGEE	Essayist/novelist James
EGER	It flows to the Elbe
SCREW	Relative of a bolt
RAVE	Rant
ETAS	Guesstimates at J.F.K.
WEST	Early Hollywood sex symbol
SETSATARGETDATE	Approximates the time of completion
ASA	High ___ kite
EST	The Atl. Coast is on it
ERA	The Eisenhower years, e.g.
SEDGES	Aquatic "grasses"
EVAS	"Housewife" Longoria et al.
STS	Teresa and Helena: Abbr.
ASSERT	Say forcefully
FEST	Rear end of a slug?
