JAZZ	Charlie Parker's music
JIB	Triangular sail
ASAP	Job order notation
ZERO	Definitely a flunking score
ZENO	Founder of Stoicism
SLAP	High-five sound
SCARCE	Like cabs on a rainy day
LUMET	"Serpico" director Sidney
ATOP	Resting on
PERU	Where the Amazon rises
INDIA	"Gunga Din" setting
INVAIN	To no avail
NEATS	___-foot oil
DELI	Pickle purveyor
IDEO	Logical start?
ASSN	Org.
ISEE	Fortuneteller's beginning
CUTE	Adorable
NEEDS	Has to have
BARN	It has a broad side
AMOR	Cupid
VALES	Lowlands, to poets
POORREPUTATION	Black eye
RAVEN	Poe called it "grim, ungainly, ghastly, gaunt and ominous"
THIEF	Chop shop supplier
ACT	Do something
HIS	___ Master's Voice
OCTAVE	It goes from C to C
OGLED	Gawked at
CRAVE	Hunger for
TITAN	Moon of Saturn
AMEN	"Right on!"
AKIN	Analogous
ABHOR	Dislike, and then some
KITS	Do-it-yourselfers' needs
DER	"___ Rosenkavalier"
DOGMA	Doctrine
ETHOS	Cultural values
RETRY	Take another shot
GRIME	Detergent target
ABIE	Rose's Broadway beau
AGRA	Taj Mahal site
DOTE	Lavish attention (on)
DIRE	Awful
LATENIGHTFLIGHT	Red-eye
IBSEN	"Ghosts" playwright
LANAI	Island west of Maui
EVAN	"Mrs. Bridge" author Connell
BROS	Abbr. in many company names
ARMOR	Lancelot's attire
DEN	Room to relax in
TSAR	Peter or Paul
TRUSTY	Reliable
UNEASY	On pins and needles
UNVEIL	Show for the first time
ERE	Prior to, to Prior
EJECT	Tape deck button
RNA	Genetic inits.
RIVAL	Letterman, to Leno
CONJUNCTIVITIS	Pinkeye
CATS	"Memory" musical
OLIO	Mixed bag
NONO	Eating peas with a knife, e.g.
CRAB	Grouch
TALE	Whopper
TAPE	End of a dash
INEZ	Don Juan's mother
STAR	Top banana
ALOES	Burn soothers
RAVE	Carry on
ANTI	Opposed
IRA	Author Levin
TINCT	Color faintly
ALAI	Jai ___
PEAR	Lute shape
SOOTY	Like a sweep's uniform
BELL	End-of-class signal
EZRA	Pound of poetry
