INHAND	Under control
IMAGER	Copier component
NONONO	Emphatic denial
HOTONE	Knee-slapper
ANISE	Sambuca flavoring
NICE	"Good shot!"
DESPERADO	Western figure
ACTEDAS	Substituted for
ADAMANT	Far from easygoing
CORPSE	Body
TITLE	It's often italicized
EDIE	Peter Gunn's girlfriend
DAS	They may be assigned to 45-Across: Abbr.
ARABIANS	Some 53-Across
SENTENCE	Life, for one
MOONIE	Commune dweller, maybe
DOIDARE	Risk-taker's self-question
ANTICS	Harlequinade
ARTISANS	Studio workers
SUTTER	California gold rush name
GOOSEPIMPLE	Cold symptom?
IRONS	Pleat producers
BTU	251.9 cals.
ENNE	Non-P.C. suffix
ERASE	Off
DIET	Losing hope?
DRANK	Had a shot
ROE	Seafood selection
CRONE	Old hag
CLAIR	One of the Huxtables
BRANT	Kind of goose
BEERS	Round components?
PLANT	4-Down, for one
POLES	Planetary pair
SEANCE	Communication between planes?
SPARERIBS	Messy dish
RELOADS	Attaches another clip
RESTED	Back from vacation, say
EMAILERS	Modern correspondents
LINEITEM	Bookkeeping entry
SPENSER	Creator of the Red Cross Knight
STONE	Grave marker
EMILIO	Designer Pucci
STARK	Like many a contrast
SHUDDER	React to the cold, in a way
SANER	More stable
THORS	Medium-range ballistic missiles
TERETE	Cylindrical with tapered ends
REM	It has you seeing things
RESIDE	Lodge
EVENED	Squared
MISERS	Ungiving group
TIES	Moors
REUNE	Get the class back together
RULER	What "Henry" means, literally
LEVI	Abolitionist Coffin
LADLE	It may be in a stew
ELI	Ivy Leaguer
MURDERCASES	Queen's subjects
MILA	Uris's "___ 18"
COAT	It can be checked
DETAILED	Like some instructions
APE	One who swings a good deal
IODINE	Thyroid treatment
REPLETE	Brimming
BALDER	Having less top growth
SMEARER	Dirty campaigner
STEEDS	Mighty mounts
