ECHO	Repeat
ESTOP	Bar
CHAIR	A sitter employs one
HALLOWEDGRIND	Tiresome, yet venerated, routine?
ODESSA	"Little ___," 1994 Russian-American film drama
BANTAMS	Diminutive ones
BOBO	Common clown name
ANITA	Racing's Santa ___
NEC	IBM competitor
TOY	Racer from Santa, e.g.
ACCT	Billing abbr.
MALIC	___ acid
STENOS	They take things down
NATO	One side in the cold war
NAP	Day break
AGE	Gray, in a way
THATGOOD	As great as everyone says
OAKIE	Actor Jack famous for his startled double take
ITO	"Am ___ believe …?"
IWOJIMA	Site of a noted flag-raising
TITANIC	Immense
ONORDER	To come
SHAD	Roe source
ONEOCAT	Sandlot game
AGHA	Muslim honorific
WIN	Stat for a starter
TALE	Account
BICYCLESPEAK	Lingo shared by Tour de France competitors?
SYLPH	Slender woman
OTO	Indian near the Platte
OILSPOT	Slick
PERTH	Capital of Western Australia
TINY	Minute
TIPJAR	Bar counter sight
PBA	Org. for rollers
PROSE	Plain English
ABS	Workout target
BARER	Showing more skin
STORM	Rush
COLLEGEBIND	Whether to attend Harvard, Yale or Stanford?
LIESLOW	Stays off the radar
ERROL	Flynn who played Don Juan
WART	Flaw
TWINSET	Linen purchase
ATM	It spits out cabbage
MONA	Poet Van Duyn
SPIRO	Name in the Nixon White House
AMIE	Friend of Nancy
EKE	___ out a living
ENSUITE	Forming a series
KEEPSIN	Constrains
TWOROOM	Like some small flats
OBOE	Symphony member
MINKSTEAL	Bargain on a wrap?
HERON	It's a shore thing
NOTHOT	No longer in
ACR	Horiz.
NED	1960's Nascar champ ___ Jarrett
HIBERNIA	Emerald Isle, in verse
AFAR	Really out there
SODOM	Place of ill repute
MUESLI	Breakfast cereal
SEGS	    Line parts: Abbr.
SATHER	Coach Glen of the dynasty Edmonton Oilers
NORMANFALL	Demise of an old empire?
ATA	___ premium
TUROW	"Presumed Innocent" novelist
RISEOFJERICHO	Ancient city's increase in prosperity?
OLESTRA	Chipmaker's substitute
WASSAIL	Toast
UPRAISE	Lift
IMARET	Eastern hospice
KATO	Bruce Lee TV role
SHEILA	1962 #1 hit with the lyric "True love will never die"
STRETTI	Overlapping parts of a fugue
ISITME	"Am I the problem here?"
RUBSRAW	Abrades
ROTHIRA	Tax planner's recommendation
UNA	Overseas article
BIGS	V.I.P.'s
TOSSES	Throws in the trash
TINHAT	Soldier's helmet
ONIT	Taking care of a job
ARTLESS	Unaffected
AVON	"Soft flowing" stream of poetry
ENDER	Rear-___
STAGELEAVE	Shakespearean sabbatical?
SCARE	Daunt
LION	Viking foe
EDGED	Beat by one, say
ANOTE	Make ___ of it
IOTA	Little bit
RETCH	React violently
THELINDY	It's done by swingers
SAIDNOTO	Turned down
OOOLA	Alley Oop's girl
FRI	Some thank God for it: Abbr.
SRI	Holy Hindu's title
SMASHED	In one's cups
RIBCAGE	What a hook might connect to?
ISEENOW	"That clarifies it"
THAIS	Massenet work
SODOI	"Likewise"
LOGONTO	Access, in a way
JAL	Carrier to Kyoto, briefly
MIST	Spray
TAN	Whip
ERROR	Certain computer message
REDSEA	View from Jidda
NET	___ sales
IONE	Actress Skye
NOLESS	At least
ABEARLEADER	Mike Ditka, e.g.?
REEVE	Chaucer pilgrim
REHAB	Users might enter it
DEA	Deal busters: Abbr.
ADHOC	Literally, "for this"
LORES	Computer screen setting, quickly
ESTER	Oil of wintergreen, e.g.
STOAT	Brown fur
SCENEI	Theater opening
ODES	Pablo Neruda works
SLRS	Camera shop display, for short
DUALIST	One who believes there are two eternal principles, one good and one evil
UTNE	Eclectic bimonthly
HAN	Chinese dynasty
ENGLISHLIGHT	Illumination at Buckingham Palace?
GAR	Predatory fish
LYE	Strong cleanser
ILE	Québec's ___ d'Orléans
GYN	Med. specialty
ECTO	Prefix with morph
EGO	Conceit
VDAY	When fighting ends, in short
EARLYON	Near the beginning
SHEA	Baseball park
DEW	Drops on a field
EYRE	Rochester's love
ABSENCE	Lack
SORT	Genre
