CHIN	Gossip
CHASM	Gorge
HINTAT	Suggest
IVTUBE	Conduit in an I.C.U.
NEEDED	Vital
GABS	Gossips
GIGOLOS	Hired escorts
ACLU	Org. involved in the Scopes trial
BEES	14-Across residents
STEP	Rung
AGATE	Geode material
AWOKEN	Disturbed
GOVERNOR	Person in a mansion
AVERSELY	With reluctance
TEN	Perfect beauty, maybe
ENS	Rank on the U.S.S. Enterprise: Abbr.
HIVE	Place for a comb
ICET	"New Jack City" co-star
WOVEN	Interlaced
ANTE	Penny, perhaps
GLEE	Mirth
OVENS	Rack sites
STUDIOUSPOKER	Casino game that requires thought?
ILIAD	War story
OVER	Finished
MABELL	Parent of Ameritech, Nynex, etc.
VERSES	Haikus, e.g.
EDAM	Gouda alternative
SYNE	"Auld Lang ___"
TEDIOUSKENNEDY	Boring Hyannis Port figure?
UHURU	Black ___ (reggae group)
SINUS	Kind of headache
KEENS	Laments
ASHIER	Less ruddy
OLAN	Pearl Buck heroine
OLORD	Prayer starter
OSSA	Bones, anatomically
LAPP	Arctic European
OVERFILL	Not just stuff
RECOURSE	Contingency plan
UNE	Article in Le Monde
TRYME	Response to "You won't believe this!"
THEIR	Belonging to others
SAVE	Goalie's feat
CRUNCH	Ab exercise
COSI	"___ fan tutte"
CHATTER	Prate
SPECIOUSSHEETS	Papers with poorly reasoned arguments?
INROAD	Raid
ERASED	Clean, now
TODATE	Yet
SUEDES	Some leathers
APRONS	Ones providing coverage at the Pillsbury Bake-Off?
AIROUT	Freshen
TRASK	Britain's Betty ___ Prize (literary award)
FURIOUSTRADER	Stock exchange worker who was cheated?
ODOR	Renuzit target
URGE	Desire
SARA	1986 #1 hit for Starship
SPIRO	Hubert's successor
STU	"Rugrats" dad
PUN	Many an "Airplane!" gag
DRAT	"Nerts!"
SADA	Actress Thompson
TULSA	Where Garth Brooks hails from
OGRE	Shrek, e.g.
ETES	They precede automnes
UNLED	Anarchic
REAR	Bring up
DESK	Place for a phone
