SEEP	Ooze
SPA	Place to refresh oneself
ELL	Building wing
EEL	Wriggly swimmer
PASSKEYS	Openers for all doors
SCALA	La ___, Milan opera house
SPOT	Good name for a Dalmatian
CEOS	Corporate V.I.P.'s
ARK	Noah's ___
LIU	"Ally McBeal" actress Lucy
ALPHATESTS	Some computer software checks
ACES	One-spot cards
AFAR	Light years away
COLINPOWELL	Army officer who met 39-Across in 25-Down
EGO	Self-esteem
SGT	Last Army rank of 39-Across: Abbr.
PLEA	"Not guilty," e.g.
PERIL	Jeopardy
FOGG	Phileas ___, who went around the world in 80 days
ALLSHOOKUP	Like 39-Across's fans on his induction day?
HIS	What the "H" of H.M.S. may be
ALOT	Plenty
SITS	Uses a stool
HARI	Spy Mata ___
ATAD	Not too much
HAWKS	Warmongers
HAIRCUT	Much-photographed event after 39-Across's induction
ALTOONA	City with a Penn State campus
WESTGERMANY	Where 39-Across was stationed overseas
PSAT	H.S. junior's exam
PRIVATE	First Army rank of 39-Across
SALINE	Like seawater
NAG	Old horse
ASTORIA	Waldorf-___ Hotel
GIBLUES	First movie 39-Across made after his Army stint
ALEE	Away from the wind
STRATA	Layers
SHELLACKED	Defeated soundly
TALIAS	Actresses Shire and Balsam
PSI	Letter before omega
ITSY	"___ Bitsy Spider"
HAILED	Waved one's arms at, as a cab
OTB	Place to wager on the 28-Acrosses: Abbr.
ROTS	Goes bad, as fruit
ELVIS	Notable Army inductee of 3/24/58
AWOL	Military no-show
APPARENT	Clear to all
COG	Part of a gearwheel
PLIANT	Flexible
PEER	Word before group or pressure
PERU	Land of Lima and llamas
UNE	French "a"
ELATES	Makes very happy
PLIE	Balletic bend
TAR	___ and feather
EASE	Simplicity
HALAS	Legendary Chicago Bears coach George
HER	What the "H" of H.M.S. may be
MARC	Singer ___ Anthony
AREA	Neighborhood
APER	One who makes a good first impression?
AGRA	Indian tourist city
PCTS	Police hdqrs.
REAR	Derrière
RCA	Record label of 39-Across
EON	Long, long time
KINGCREOLE	Last movie 39-Across made before his Army stint
IVE	"___ had it!"
NEG	Photo image, briefly
OAR	Rowboat mover
LIE	Made-up story
ELK	Antlered animal
CONE	Dunce cap, geometrically
EVERT	1975-78 U.S. Open champ Chris
NAIL	Finger's end
ANYA	Novelist Seton
DEGAS	Artist who liked to paint dancers
TREK	Hard journey
