FESS	Own (up to)
FAB	Terrif
ERA	Part of B.C.E.
STRIKETWO	Full-count cry
SYNC	Harmony
HALTS	Freezes
HASHISH	Contents of some hookahs
ATHOL	Playwright Fugard
LAIC	Of the flock
TREK	All-day hike
SIDEBAR	Court conference
TAME	Hardly racy
TUTTUT	Expression of annoyance
ALIEN	U.F.O. pilot
MARAT	Charlotte Corday's victim
ENEMY	Other side
ARTY	Chichi
ATARI	Old Intellivision rival
ULAN	___ Bator
BARN	Hoedown site
SHIED	Recoiled
TIRE	Place for studs
ICEHOCKEYTEAM	Hurricanes or Lightning
ENTR	___'acte
YOND	In the distance, poetically
ASK	Suggest, as a price
ANWAR	Egypt's Sadat
STATE	Cabinet department
NIL	Zip
BOUNTY	Ship sent for breadfruit in 1787
NTESTS	Blasts of the past
SET	Spot for a scene
ICANT	"Out of the question"
IZAAK	___ Walton, author of "The Compleat Angler"
CALM	Like the eye of a hurricane
WATERHAZARD	Links obstacle
AVEC	Picasso's "Colombe ___ fleurs"
STS	Valentine and others: Abbr.
SKIPSTOWN	Takes a powder
TENAM	Pre-noon time
SEEYA	"Ciao"
ATWT	Periodic table abbr.
VAL	Actor Kilmer
SKEE	___-Ball (arcade game)
SGT	Police rank: Abbr.
REO	Royale of old autodom
STEAMENGINE	Device patented by Thomas Savery in 1698
SULU	Original Enterprise navigator
TIEPINS	Cravat adornments
ENCHANT	Captivate
NEUE	Modern, to Mahler
QUICK	Sharp-witted
QANTAS	"The Spirit of Australia" sloganeer
NETPAY	You can take it with you
IMPALE	Pierce with a point
ITALO	Author Calvino
MURAL	Diego Rivera work
PRUNE	Snip what's superfluous
TCU	Horned Frogs' sch.
TENON	Mortise's mate
SMA	Opposite of great, to Burns
TURNUPTHEHEAT	Put more pressure (on) … or a title for this puzzle?
TTOP	Sunroof alternative
HITE	"The ___ Report," 1976 best seller
AGES	Matures
ARUT	Stuck, after "in"
ITINA	Turner autobiography
GOYA	"The Naked Maja" artist
YEA	Roll call vote
ASP	Nile biter
LANA	Turner who was called the Sweater Girl
NOTON	Off
EWES	Their milk is used to make Roquefort
OLES	Corrida cries
SPENT	All in
SNAP	Completely lose patience
