ELAL	Airline to Tel Aviv
EMT	C.P.R. expert
LAWCOURT	Where some suits are pressed
AMOUNTTO	Be the equivalent of
LEFT	Hit the road
SPAS	Soothing spots
SPRYER	More agile
PRO	In favor
AINT	"Say it ___ so!"
SMEAR	Sling mud at
ADOBE	Pueblo dwelling
ALF	Sitcom extraterrestrial
DAFT	Off one's trolley
ONEILL	Tip of Massachusetts
BERNIE	Songwriter Taupin
EDSELS	Classic Fords
MAME	Broadway Auntie
PRIM	Strait-laced
LANED	Like a highway
TWOFORONEOFFERS	Some bargains
OTT	Mel of the Polo Grounds
OPENTO	Willing to try
CUTTY	___ Sark
TAP	Make use of
TINE	Trident feature
HON	Sweetie
HMO	Patient-care grp.
TEN	Top rating, perhaps
NEHRU	Associate of Gandhi
REC	___ room
COEDS	Yale students starting in 1969
LIL	Diamond ___
MUTT	Not the finest dog
THOSE	Not these
REP	Be an agent (for)
PEERS	Jury's makeup
NOBLES	Dukes and earls
BRINE	Pickling need
ORTHO	Prefix with graphic
OFUSE	Helpful
HEATER	Punk's pistol
ABBOT	Monastery head
TOOFOREBODING	Overly ominous
OBEYER	Compliant one
NEXTCASE	Cry heard in a 2-Down
GRIDIRON	Where Giants and Titans clash
SUBURB	Scarsdale, e.g., to New York City
SNERD	Dummy Mortimer
DTS	Skid row woe
TALESE	"Honor Thy Father" author
TASTER	Wine expert
ALCOVE	Dinette set spot
LEAFED	Flipped (through)
SOC	Part of S.P.C.A.: Abbr.
CAMELS	Desert ruminants
EXIT	Door sign
ALE	Maugham's "Cakes and ___"
EYE	Look over
ELMER	Bugs bugged him
TAB	A bartender may run one
BEY	Former Tunisian ruler
TDS	42-Down scores: Abbr.
SCAT	Ella Fitzgerald specialty
TONY	Cousin of an Obie
ELM	"Slippery" tree
MOVE	Pull up stakes
MERCI	"___ beaucoup"
REAL	"Get ___!"
TOFOURMOREYEARS	Reelection toast?
UTE	Western native
RID	Free (of)
SFO	Bay area airport letters
EVENT	Happening
EVIL	Devil's doings
ASOF	Starting from
REDYE	Turn blue, maybe
REDS	Cincinnati team
LENO	TV host who wrote "Leading With My Chin"
