RADAR	Fuzzbuster's finding
RATS	"Darn!"
AGHA	Turkish title
DIEM	Vietnamese dictator Ngo Dinh ___
ALSO	Additionally
REHASH	Hardly original writing
HMS	Abbr. in a G. & S. title
HON	Sweetums
MOSEYED	Shuffled (along)
SHIMON	Israel's Peres
PEAR	Alligator ___
PABLO	Nobel poet Neruda
ELO	"Xanadu" rock grp.
AMY	Author Tan
RISQUE	Suggestive
ABACI	You can count on them
ASSESS	Take stock of
BAKSHEESH	Payment to expedite service
ABATE	Let up
CITEE	One quoted
INERT	Like some gases
AGILE	Quick
OOH	Cry at fireworks
SALMI	Game ragout
SNIT	Piqued state
SABIN	Oral vaccine developer
THESHUNSIGNBOYS	Group that ignores four-way stops, e.g.?
UNE	Article in Le Monde
GAUL	Caesarean conquest
SKATE	Shirk duties, slangily
SAMOAN	South Seas islander
EMAIL	Online item
QUESTER	Knight errant, often
URN	Vessel at socials
SEWYOUTOYOURSHEET	What an inept surgeon might do?
WKRP	Radio station on old TV
YOYO	Toy making a comeback
ODER	River of Brandenburg
TORCH	British flashlight
TASSO	Italian poet of "Rinaldo"
OCTET	Vocal ensemble, maybe
RHETT	Bonnie Blue Butler's dad
CEASES	Ends
KENL	___-Ration (dog food)
ODENSE	Hans Christian Andersen's birthplace
ACHE	Long (for)
ORD	La Guardia : LGA :: O'Hare : ___
OUT	Fully anesthetized
RAYE	Martha in denture ads
REPRODUCE	Xerox
AWS	"Isn't that cute!" exclamations
ESAU	Biblical name meaning "hairy"
SION	Capital of Valais canton, Switzerland
APOP	Each
USSR	Boycotter of the '84 L.A. Olympics
STEAMUP	Get hot and bothered
MARIMBA	Xylophone cousin
SHEWORTHYSIPS	Drinks fit for a lady?
SEGO	___ lily (Utah's flower)
HEAR	Get wind of
TYCHE	Greek goddess of chance
HOLE	Driver's destination?
YOULOVE	Amas, to us
SETSAT	Assails
JEEPS	Cherokees, e.g.
JEFE	Mexican leader
YOOHOOS	Attention-getting calls
OTTER	Furry floater
SEGAR	"Popeye" creator
STRAD	Fine fiddle
ACLU	Censorship-fighting org.
ASIS	WYSIWYG, on sales tags
NPR	Inits. in journalism
SIFTFORONESHELF	Do some rummaging for a cabinet part?
FERN	Bracken, for one
NICK	Pottery flaw
EXTS	Bus. phone components
FRIEZE	Entablature part
RCA	Elvis's record label
RASP	Mobster's speech, maybe
CLUE	Airhead's lack?
AGER	Golden-___
MERE	Nothing other than
DIXIE	Gray area?
ORLOP	Lowest ship's deck
LATER	Informal sign-off
OTERI	Cheri of "S.N.L."
PEROT	1992 also-ran
ALGEBRA	Quadratics and such
ESTROGENS	Replacement therapy hormones
DUCTS	Some have tears
DON	Put on
AVIATE	Pilot
AWL	Leatherworking tool
SUESANDSHOCKS	Seeks legal redress with stunning effect?
STEN	Anna of "Nana"
HIRE	Engage
TWEETER	Speaker's need
TINA	Perry Como hit "___ Marie"
PERT	Impudent
TINE	Rake part
MIL	TV audience unit: Abbr.
MOHAIRS	Goats' coats
ZERO	Absolute twit
ROAMER	Nomad
ONEWAY	Ticket type
ALE	Public house potable
MISFIT	Nonconformist
AEON	Very long stretch
ADAS	Roles in "The Piano" and "Tobacco Road"
ESTHER	Job preceder
MERIT	Worth
MEDLEY	Olio
SOPONLINEANDSHAVE	Internet bathing/grooming site come-on?
SARIS	Maharani wraps
OPERA	Field of Battle
PONES	Corn-based loaves
AREAS	Specialties
NEAL	Broten of hockey fame
VEG	___ out (relax, like, totally)
APOGEES	Orbital extremes
REATA	Ranch in "Giant"
EDGARS	Literary awards
GERE	Richard of "Runaway Bride"
ASIA	Polo field?
ROCS	Fliers in Arabian tales
STAT	Order to a nurse
RENEW	Freshen
FIREASHINGLESOT	What the drunk roofer's boss had to do?
IDO	Oft-broken promise
REP	Circle ___ (theater group)
NET	It's a lifesaver
IRENA	Grantorto's victim in "The Faerie Queene"
IDEAL	Classic toy company
ERE	Afore
ERICA	Jong with a "Fear of Fifty"
SASSY	Impudent
TOPS	First-rate
RST	Consonantal trio
YEAST	Rising agent
