SCOOPS	Split components
STARDOM	"American Idol" quest
CARDANO	Girolamo ___, Italian mathematician who first published the solution to the general cubic equation
ONCAMERA	Captured, in a way
OKA	River in Irkutsk
PUNS	"Sanity clause" and others
SPAHN	1950's Braves pitching ace
USSTATE	See 7-Down
UTAH	The 45th 7-Across
SAP	Gull
SPEWER	One given to diatribes
TETHER	Restraint
ARIOSE	Not recitative
TEASET	Afternoon service
ERNEST	Nobel-winning physicist Rutherford
TANKUP	Get ready for the long haul
TAPERER	Candlebearer, in Anglican services
ARCANA	Occult matters
CAPETIAN	Old French dynasty member
CHUCKNORRIS	Celebrity hinted at by the ends of 30-, 32- and 36-Across
RDA	Letters for Alpha-Bits?
SHHHH	Theater request
HEMLINE	It marks the end of a shift
WHOSE	Fats Waller's "___ Honey Are You?"
DAME	Broad
ETTU	"Some friend you are," more classically
NEU	Twin cities Ulm and ___-Ulm
REESES	Big Cup maker
RARER	With more to be done?
ONETO	The ___ watch
OWS	Stinging remarks?
MCGARRETT	Lead role in "Hawaii Five-O"
GETWELL	Kind of card
MORTWALKER	Cartoonist who founded the Museum of Cartoon Art
ATSIX	When some watch the local news
AUSTINTEXAS	Capital on the Colorado
XAS	___ in xylophone
ANET	"Fisherman With ___" (1868 Frédéric Bazille painting)
SGTBILKO	Central figure at the fictional Ft. Baxter
SNOWRANGER	Wintertime Forest Service employee
EASTMAN	Photography pioneer
REPOSTS	Puts back on one's blog
BRASSIERE	Item of apparel patented in 1913
BLIMPS	Sights at many football games
RECOOK	Get something done?
AREOLE	Iris part
SOIREE	Evening out?
SUNHAT	Baby's beach necessity
SETAE	Bristles
LEROUX	"The Phantom of the Opera" author
RLS	Literary inits.
SERBO	Croatian leader?
TBSP	Kitchen meas.
ICEIN	Strand up north, say
OILED	Blotto
ONER	Lollapalooza
DEAN	Recipient of many referrals
ITO	"What was ___ believe?"
MOORHENS	Endangered wetland fowl
EXE	River to the English Channel
REALMS	Spheres
ALI	Quarry quasher of 1970
POLEAXE	Fell sharply?
BALKAT	Refuse to go along with
SKEETER	Camp nuisance
ONIONS	Some bulbs
