AVIS	Hertz competitor
AMP	Piece of band equipment
VIE	Compete
ILL	Down with the flu
SETH	Son of Adam and Eve
RIPEN	Mature
REFUTER	Opponent in an argument
IRONS	Shackles
PORT	Harbor
EDGE	Perimeter
NEEDLES	Christmas tree shedding
ACTS	Play parts
ABBOTS	Monastery heads
CLOUT	Influence
TEASE	Hardly the prim sort
SURER	More certain
MILE	1/500 of the Indianapolis 500
ERODE	Wear away
BLEU	___ cheese (salad topping)
PELT	Animal skin
FORGE	Valley ___, Pa.
BOAR	Wild pig
HAUNTEDHOUSE	Where to get scared
AIDE	Campaign worker
HAM	Boars Head product
CIA	Org. with secrets
CUBBY	Small compartment
INURE	Become accustomed (to)
AMMAN	Jordan's capital
ITS	"___ a small world..."
LATTER	Second of two
UNMADE	Still rumpled, as a bed
APT	Liable
STEMS	Wineglass features
SAILS	Leaves harbor
TROT	Gait faster than a walk
BUMPERCARS	Where to get jarred
CRIB	Test taker's dirty secret
MAD	Insane
MAIDS	Hotel cleaners
ATRIP	Just clear of the ocean floor
DELTA	Altanta-based airline
BRAT	Child most likely to be spanked
RIO	___ de Janeiro
SATE	Satisfy a hankering
SHE	"What ___ Is" (1988 #1 country hit)
YEN	Hankering
TILTAWHIRL	Where to get dizzy
TONGUES	Languages
ACCUSER	Plaintiff
WREN	Carolina ___ (little songster)
SNOBS	Hoity-toity sorts
SHREDS	Rips to bits
NAY	Opponent's vote
CREDIT	Debit's partner
ORPHAN	"Little ___ Annie"
OMAHA	University of Nebraska campus site
REGAL	Magnificent
PRUNE	Wrinkly fruit
ACE	Decorated war pilot
AORTA	Major blood carrier
SPA	Place to recuperate
MERRYGOROUND	Gentle alternative to 20-, 32- and 41-Across
OSLO	Nobel Peace Prize city
REIN	Bridle strap
DOCK	Loading area
AGUE	Shaking chill
USERS	Computer operators
OILY	Greasy
III	Caesar's three
LTD	Inc., in Britain
YES	"You bet!"
HAND	Full house, e.g.
ELITE	Crème de la crème
CITE	Quote as an example
ALES	Bartenders tender them
SONAR	Echolocation
KIDS	Baby goats
