OFCOURSE	"Naturally"
OPPOSABLE	Subject to being challenged
FROSTFREE	Like some refrigerators
CENSORING	Not allowing to speak one's mind
OTT	Player with 511 career home runs
UZIS	Strong arms?
REFER	Direct
SLIDER	Perfect pitch, maybe
ESCAPEE	This shouldn't be loose
LADDIE	Sonny boy
LLBS	Foreign attorneys' degs.
AIR	Tune
DVORAK	"St. Ludmilla" composer
DEWAR	Kind of flask used by a chemist
ITSIN	"___ His Kiss" (golden oldie)
EVENS	Choice in choosing up sides
PRETZELS	Bar offerings
LIVETV	Much of "The Ed Sullivan Show"
PONTIFIC	Like a pope, old-style
BROWSE	Window-shop
OSS	W.W. II spy grp.
SEDANS	Motorcade units
NODAL	Knobby
RAIN	Pitter-patter maker
STOW	Pack
WONT	"I ___ tell!"
REPO	Tow truck hook-up, maybe
BARNS	Animal houses
BASTES	Stitches
AFROS	60's dos
SKITCH	Bandleader Henderson
REDOAK	New Jersey's state tree
ORAL	Word-of-mouth
BRINKS	Big name in security
SLUR	Arc on a score
EARS	Canal zones?
VET	Nov. honoree
VIDEOGAME	Hunt the Wumpus, for one
ENERVATES	Exhausts
TENDEREST	Like blue-ribbon-winning steak
LENTILS	Podded seeds
SNIPE	Straight-billed game bird
LATRINE	Military duty?
RAND	African money
EEG	Head lines, for short?
TUNA	Salade niçoise ingredient
AMONGST	In the middle of
LEADEN	Heavy
SCRIMP	Cut corners
SADDLE	Order to a cowboy, with "up"
PERDUE	Chicken man
SNERD	Bergen sidekick
SARAH	"Adia" singer McLachlan
SCIFI	It may be filled with saucers and such
ALLAN	Gumshoe Pinkerton
ROLLS	Coin collections
POEM	"A ___ should not mean / But be": MacLeish
MEARA	Funny Anne
DOVE	Didn't just tiptoe into the water
CLOD	Oaf
GENRES	Op Art and Pop Art
GYNT	Ibsen character
SYNC	Coordination
GAR	Needlefish
ILLDRY	Welcome offer to a dishwasher
RIC	Rocker Ocasek
GDAYMATE	Sydney salutation
MAH	___-jongg
FALLIN	Sergeant's order
SURNAMES	Currier and Ives, e.g.
INSECT	Ladybird, for one
TEACHEST	Boston Harbor flotsam, 1773
