RAWDATA	Uninterpreted info
RAWLS	"Love Is a Hurtin' Thing" singer, 1966
ACHOO	Blessing preceder
WHIRL	Brief attempt
DESIST	Cut it out
ASKS	Calls upon
TOE	Dactyl
ANY	Even one
STOMP	Defeat decisively
STORK	One might bring you a bundle
TOMEI	"What Women Want" actress
ONEONONE	Confrontation
MIR	It crashed on 3/23/2001
PCS	Windows boxes
COOKOFF	Range war?
CIPHER	Goose egg
ONION	Ring source
OSAY	Key start?
KISSINGCOMESIN	Expression of love is gaining popularity?
OPT	Decide to leave, with "out"
FIE	Giant syllable
FDR	Yalta monogram
ACHESON	Dean of government
TONIC	Elixir
INSIPID	Unappetizing
WHISKEYSOMERS	ThighMaster user's favorite libation?
SOO	"Wellll ...?"
PIASTER	Coin of Cairo
LORIS	Large-eyed lemur
OREO	Round of snacking?
AHOYS	Calls from yawls
AMER	One of the maj. leagues
SOLS	Peruvian money
SMOKINGGMEN	Feds with cigs?
SPORTY	Sleek and stylish
MEW	Copy cats
GIDE	1947 French Nobelist André
GLENS	Hollows
INCA	Son of the Sun
NOOK	Hiding place
CORE	Nub
APER	Takeoff artist
TAPE	Watergate evidence
ADOREE	Renée of "The Big Parade"
OILER	Edmonton skater
SNOOP	Private detective
SLIT	Buttonhole, e.g.
BAD	Corrupt
BEEFED	Kvetched
ANGORA	Smooth yarn
DABSAT	Blots lightly
DOWNMENDER	Fine feather repairer?
NASCENT	Budding
MIDAS	Cursed alchemist
ELIJAH	Mount Sinai prophet
ALGORE	Candidate of 2000
ANEW	Over
ENAMOR	Charm
MESSENTERPRISE	Readiness to produce meals for G.I.'s?
AILEEN	Annie portrayer Quinn
SNICKER	Suppressed laugh
SWAY	Go to and fro
EGBERT	Ninth-century Saxon king
SDI	Reagan program, for short
SOWETO	1976 uprising site
OCANADA	Song heard at the SkyDome
FOSSEY	"Gorillas in the Mist" author
CAJUN	French dialect
UTA	Actress Hagen
NODOFF	Doze
CAW	Corvine call
MARS	Pathfinder's target
ARMADA	Naval unit
RRATED	Steamy
SAYERS	Author of "Strong Poison"
ERASE	Wipe out
MESATODAY	Arizona newspaper?
MOTE	It's no big thing
DOVER	Sole provider?
BERRA	Catcher in the wry?
BIPEDS	Ladies and gentlemen
DATE	Go with
EON	Time on end
EXIT	It's a turnoff
HADON	Watched, as a TV show
DISMAY	Perturbation
DOTELL	"I'm all ears!"
NEXTTO	Alongside
ETNA	Vulcan's Chimney
ORANG	Hairy cousin
OVA	Women's cells
OPIATE	Calmer
SCOTTIE	Certain terrier, informally
SLUG	Hard punch
CALL	"Steeeerike!", e.g.
OTTO	"Smoke Gets in Your Eyes" lyricist Harbach
REFFED	Called the game
EIRE	Leprechaun land
FLOTILLA	Naval unit
TENDER	Like the night, to Keats
LATENT	Potential
MAILFRAMED	Letters hanging on a wall?
MURK	Darkness
MEL	Brooks of "The Producers"
ADS	Attack ___
ULTRA	Sound introduction?
MUNRO	"The Last of the Mohicans" colonel
MERSEY	___ Beat (1960's music)
ELSA	"La Storia" novelist Morante
ASHORE	On solid ground
GLOP	Goo
MERGETOKILL	Form a hit squad?
MANIA	Rage
ODELL	Children's author Scott
KESEY	"One Flew Over the Cuckoo's Nest" novelist
ISP	Mindspring or AOL, for short
STAN	Cartoonist Drake
TIMON	Shakespearean Athenian
ALEUT	Native Alaskan
NERTS	"Doggone!"
ROARK	"The Fountainhead" character
OATH	103-Down, mildly
IDES	March time
CHILE	Easter Island's owner
CHAT	Tête-à-tête
INDIANS	Gandhi and Nehru
IBM	One of the Dow Jones Industrials
NEA	Grant source: Abbr.
DAD	Little League coach, often
MILESPERHOMER	Measure of Barry Bonds?
MRS	Half a couple
IOC	Games grp.
EWE	Farm mate
REX	Friend for Rover
BEASTIE	Spooky critter
ROLLE	Esther of "Good Times"
WEAROUT	Exhaust
MADEHAY	Prospered
SCALY	Reptilian
EXTENTS	Magnitudes
