BUGJUICE	Inferior alcohol
BSIDES	They usually aren't hits
UPNEXT	Ready to take a cut
GECKOS	Wolf snakes' prey
JARED	1998 Pulitzer nonfiction winner ___ Diamond
UKES	Instruments that may be made from monkeypod wood
ISA	"Love ___ Song Without End" (from "Bambi")
CUSSWORD	Oath
EPEEIST	Pentathlon competitor, e.g.
MARIST	Poughkeepsie college
MAGUS	Sorcerer
ATOP	On
ROTS	Languishes in confinement
INCHOATE	Disorganized
SCHOONER	Draft order?
TEAPOTS	Cozy locales
SPEAKSUP	Isn't shy
ATONCE	Pronto
INCREASE	Up
GOTCHA	"Aha!"
DEKES	Sporting deceptions
SETUPSHOP	Start operating
TNT	Cause of a blowup?
EXOD	Gen. follower
TWINS	Big delivery?
THONG	Simple footwear
OOO	Winning sequence
STS	Rte. parts
GHOST	Mere semblance
GHANA	Where the Volta flows
CHANT	Words from a crowd
CREEP	Cad
HEWS	Cuts
SHORT	Lacking
SLIM	Not likely
ARETES	Glacial formations
ARGUE	Object
ROLAND	Knightly hero of medieval romances
RODEINTO	Arrived at, oater-style
OVERDRAW	Have trouble with one's balance
BREWER	Guinness, for one
BAYBERRY	Candle scent or rum flavoring
ROVING	Not specifically assigned
REDDUST	1932 Gable film remade as "Mogambo"
PAGES	Beeps
PULLTAB	Can help?
EDEMA	Sunburn symptom
BUYUP	Get all of
BLT	Diner order
OTB	Risky business?: Abbr.
OUTLAW	Ban
TERESA	Saint canonized by Gregory XV
BRASSY	Forward
DER	Nietzsche's "___ Antichrist"
ILLBE	Well follower
ITERS	Anatomical canals
RUER	Sorry sort
RUBLE	Much-devalued monetary unit
DIDBATTLE	Fought
BILE	Nastiness
APER	Little, e.g.
SUTRA	Hindu aphorisms, collectively
SUCH	Similar things
UNRIPE	Immature
TROUBLES	Inconveniences
OTT	Teammate of Hubbell and Terry
STALER	Less original
ARTCLASS	Where to draw the line?
TOWERS	Rises dramatically
BYTHEWAY	Parenthetically
