JUDICIARIES	Court systems
JUSTIN	Like a news bulletin
UTTERED	Pronounced
DOES	Buck passers?
INN	Motor ___
CEO	Capt. of industry
IST	Left end?
ALWAYS	1990's Coca-Cola slogan
ROANS	Some stallions
ISNT	Has no life
EST	Mass. setting
SENSUOUS	Deeply felt
CUTONESLOSSES	Bailed out, in a manner of speaking
CANTO	Poetic chapter
SOPRANO	One who gets high?
WASTENOTWANTNOT	Principle of economy
WASP	Mud dauber, e.g.
TASTED	Experienced
ANTES	Individual shares
ANT	It may be red or black
SPA	Salutary site
STIR	Move
SWAYS	Influences
SHULS	Cantors' places
WINO	Dipsomaniac
ASTORIA	Port in Oregon
FURS	Otter and others
FBI	Justice Dept. division
PONE	In bridge, the player on the dealer's right
HISS	Fuse sound
UBOAT	Depth charge target
URDU	Literary variant of Hindustani
DAUNT	Cow
ABET	Be an accessory to
TRIUNE	Like the Godhead
TENET	Position
SAW	14-Across, e.g.
SEAHAG	Popeye's female foe in early comics
ALBINOS	White elephants, e.g.
WOODIBIS	Stork with a featherless head
BLOOPED	Hit, as a Texas leaguer
PURR	Persian output
SOD	Early Plains building material
ELOPES	Bonds after splitting
PRE	Grand ___ ("Evangeline" setting)
RUNUP	Amass
PACIFIC	Untroubled
ABORT	Scrub
SIRE	Engender
SPRINT	Track event
ABBA	Top-selling pop group of the 70's
BUTANE	Lighter fill
BRACE	Uncomfortable neckwear
ABLE	Not impotent
HIDE	Tanning need
OPART	Works with visual effects
OREOS	Two-tone treats
CURB	Park place?
ANI	Singer DiFranco
ARR	Flight datum: Abbr.
AUNT	Great-___
VITAL	Like some statistics
VELA	Curtainlike partitions, biologically
GOBLUEINTHEFACE	Become livid
LGE	T-shirt size: Abbr.
NTH	Highest
THE	Café alternative
HEP	Like some cats
SIGNONTHELINE	Commit oneself, in a way
SETSTHEPACE	Leads
