JIVE	Hipster's jargon
JERK	So-and-so
IBOS	Nigerian natives
VOLUMETWO	"B," maybe, in an encyclopedia
ENL	Photo lab abbr.
CAGEY	Shrewd
CADET	Officer-to-be
ABODE	"Humble" dwelling
GOV	White House Web address ending
EVE	Eden exile
YER	"___ out!" (ump's call)
REB	Yank's foe
RETAG	Mark down for a sale, say
ERITU	Verdi aria
BETSY	___ Wetsy (old doll)
EBON	Black, to bards
ABOVE	Outranking
MERE	"A ___ bagatelle!"
MATEO	San ___ (Bay Area county)
ROLLEDOVER	*Did a dog trick
ELSE	Additional
ATIT	Toiling away
KSU	The Wildcats of the Big 12 Conf.
LED	Took charge
STATS	Rebounds, shooting percentage, etc.
SCREW	Hinge holder
MISTERNICEGUY	*One who's often doing favors
IVOR	Songwriter Novello
RPS	Rotational speed meas.
NESTS	Homes for 46-Down
IDIOT	___-proof (easy to operate)
ALEVE	Tylenol alternative
ARLO	Guthrie who sang about Alice's Restaurant
LOON	Nut case
PEDRO	Martinez with three Cy Youngs
ROTO	___-Rooter
AUSSIE	Shrimp-on-the-barbie eater
ANCON	Cornice support
UTILE	Of service
FOP	Fancy dresser
FIXEDCOST	Salaries, e.g., to a business owner
ONES	Leftmost compartment in a till
PENS	Parker products
LOWRENT	*Affordable, as an apartment
EINEN	German indefinite article
TOWLINE	*Tugboat rope
LOLL	Lounge around
ONO	"Bed-in" participant Yoko ___
ICIEST	Most dangerous, as winter roads
EDW	Part of P.E.I.: Abbr.
OXEN	Pullers in pairs
ANOLD	"You can't teach ___ dog ..."
AVAST	Salt's "Halt!"
BLESS	Sprinkle holy water on
BRIE	Creamy cheese
BRAVENEWWORLD	*Aldous Huxley novel
BIRDS	Things hidden in the answers to this puzzle's six starred clues
ROARS	Zoo noises
AWMAN	"Gimme a break!"
WITTY	Quick with the zingers
OCHER	Autumn shade
IOWAN	Hawkeye State native
ICI	"___ on parle français"
CUR	Mangy mutt
UNTO	"Render ___ Caesar ..."
REIN	Horse halter
RAMS	Door-busting equipment
ANOTHERONE	*Bar patron's request for a refill
ADS	PC pop-ups
NEA	Teachers' org.
ONT	Neighbor of Que.
RAE	Singer Corinne Bailey ___
DRAT	"Dang it!"
DENTE	Al ___ (pasta order)
ASTI	Italian wine region
SSN	ID with two hyphens
SATYR	Mythical lecher
ETON	School attended by 007
