GLOBE	Ball
GRO	Miracle-___
LAVATORY	Washroom
ONEROUND	Length of a quick fight?
BARCELONASPAIN	1992 site
ETA	Seventh in a series
ASEA	Not docked
ADDLES	Mystifies
SEOULSOUTHKOREA	1988 site
EAU	It flows through un fleuve
ALTAI	Russia's ___ Republic
TEA	It may be herbal
TOATEE	Precisely
ENTIRE	Uncut
ATHENS	With 42-Down, 2004 site
RANAT	Blitzed
DEAL	Sports page news
MONT	___ Cenis Tunnel, in the Alps
MONTREALCANADA	1976 site
OVERANDOUT	Radioer's words
NFC	Eagles div.
OATH	Swear words
ARC	Serial story line
FLU	Winter worry
AUNTIE	Mame, for one
UNFURL	Stretch out
TOE	Kind of hold
CEL	Pixar collectible
INTERN	One who makes rounds
SOUL	Blues alternative
SAS	Flier to Helsinki
SSE	Compass heading
ENS	Naval rank: Abbr.
FREES	Rescues
ARNOLD	The Governator
LENSES	You can see right through them
DYE	Change from bland to blond?
ONCUE	How actors respond
CTA	Loop group: Abbr.
SYDNEYAUSTRALIA	2000 site
ASP	Figure on an ancient Egyptian headband
LOOKINON	Visit briefly, as someone who's sick
ITCANTBE	"I don't believe this!"
ASK	Show curiosity
ANEST	Build ___ (settle down)
ALLOTS	Assigns
GROSS	"Ugh!"
GREECE	See 12-Down
RANSOM	1996 Ron Howard thriller
OSCARS	Jack Nicholson has three
PHD	Higher degree?
DINGER	Home run, in baseball slang
COCK	Bull's partner
RASPED	Grated
DECOY	Undercover cop, maybe
KIT	Emergency ___
TOO	Overly
AKA	Police blotter letters
ENCASE	Package
ONO	Plastic ___ Band
NIN	"A Woman Speaks" writer
ESAI	Actor Morales
CARGOPANTS	Garment with a lot of pockets
AGE	Francis Bacon said it "will not be defied"
PAM	Popular cooking spray
SET	Stiffen
CORN	Muffin choice
OGEE	S-shaped molding
ADOBE	Big name in digital software
EMS	Fat letters
YEAR	Oenologist's interest
MANET	"The Asparagus" painter
