GOBAD	Turn
GAD	Wander aimlessly
OVID	"Ars Amatoria" poet
BOAR	Wild hog
AIRER	Broadcaster
DRYWIT	Wry humor
LBOS	Wall St. deals
LOU	Late crooner Rawls
BOERS	Transvaal settlers
ONEUP	Slightly ahead in a game
SANELY	How the rational behave
EDIT	Polish, as text
EBB	Fall back
DOORTODOOR	Tough way to sell
INNIE	Certain belly button
TENOR	Lohengrin, for one
AVOIR	To have, in Le Havre
OONA	The last Mrs. Chaplin
BONE	Matter of contention
DIARYQUEEN	Royal recorder?
QUAHOG	Tasty clam
BONN	World capital of 1949-1990
DREWU	School in Madison, N.J., for short
RUED	Had second thoughts about
DIOR	Stylish Christian
RIO	Carnaval site
RIALSPLITTER	Iranian changemaker?
LEARN	Get smart
TYING	Failing to win or lose
FOR	"What ___?"
FRET	Fingerboard part
OHNO	"Darn it all!"
REDASABEET	Obviously embarrassed
THE	"What ___ …?"
YOYO	Dingbat
RHEA	Hera's mother
ASSET	Good point
OAFS	Klutzes
FIE	"Bah!"
SERUM	Red Cross supply
RIDGE	Fingerprint part
GRAM	Fat unit
EATS	Takes in
ENDS	Some try to make them meet
GRIEG	"Peer Gynt Suites" composer
GOSPEL	Preacher's preaching
NORA	"Heartburn" author Ephron
TOAST	Something you make standing up
TEAS	Events where white gloves may be worn
NERO	Portrait on a coin of A.D. 64
GOAT	Blame bearer
SEES	Dates
SCOTCH	Foil
USO	G.I.'s troupe grp.
OLDBOY	Chap, in Chelsea
RMS	Abbr. in an apt. classified
FIATACCOMPLI	Finalized decree?
FOLKS	Just plain people
IRENE	Papas of "Zorba the Greek"
CARLA	"Cheers" barmaid
OPIUM	Poppy product
IGIVE	"Uncle!"
ORB	Round figure
SOAP	Dial in the bathroom
EDGES	Just beats
EKES	Barely produces, with "out"
SERE	Drought-stricken
LEER	Wanton sneer
RES	Low-___ image
TRIALBIKES	Sample cycles?
ABM	1972 treaty subj.
STS	Urban grid: Abbr.
KNEE	Cap site
CLUB	Iron, for one
OVERT	Out in the open
SETS	Gets firm
HAMM	Soccer star Mia
YESES	Toadies' replies
