ETCETERA	Enumeration follower
EQUAL	Match
TURBO	Feature of some muscle cars
CABER	Pole tossed in competition
EVA	Actress Bartok
TENS	Till stack
ERITREA	Land on the Red Sea
RETRIM	Cut again
ARE	Subsist
SHAMIR	Former Likud leader
SPLURGE	Spare no expense
HOOTS	Bad audience response
ALA	Taking after
MINUTEMAN	Revolutionary hero
ICEMAKERS	Amana amenities
REDPLANET	2000 film about a mission to Mars
QUAVERER	Very scared person, perhaps
POLICE	Rioters' quieters
URBANITE	No provincial
LOANED	Like many a library book
ABE	First name in 1858 debates
STR	Geog. feature
HUT	Wickiup, for one
HENRY	Unit named for a physicist
UMP	Diamond expert
LORE	Some tales
EDITHS	Classicist Hamilton and others
RISERS	Choirs may use them
SIGNSIN	Records one's arrival
TAL	1960-61 world chess champ
DEEMING	Judging
ELSA	Lohengrin's love
EEKA	Reggae's ___-Mouse
ENTITY	Thing
SHEILA	Girl of Oz
SCRATCHES	Mars
HAILSTONE	Something that comes down hard?
ENCLOSURE	Pen, say
GREENMEN	"Little" ones from afar
ESAU	His twin tricked him
CANTS	Pitches
ANY	One preceder?
ADDIS	Start of an African capital
STARE	It may be blank
RICHARDS	She worked for Grant on "The Mary Tyler Moore Show"
READDED	Checked the figures, maybe
MAINST	Business center: Abbr.
MODESTY	Unwillingness to crow
ALLS	Heal-___ (mint family members)
EDITOUT	Delete
TETONS	Jackson Hole is near them
TSO	Name on a Chinese menu
PAINED	In distress
PLEBE	Newbie, of sorts
YAMS	Candied dish
AMATI	Cremona artisan
MEDOC	Red Bordeaux
STYES	They may appear on lids
CTS	Price abbr.
LDS	Readers of the Book of Moroni: Abbr.
TEA	Britain's ___ Act of 1773
ATIC	Suffix with symptom
MET	Came across
HOUSED	Put up
SOD	Ground cover
GOSTEADY	Don't see other people, perhaps
GOP	Elephant grp.
EPH	N.T. book
ENROBE	Wrap
ONTIPTOE	Stealthily
SEEDED	Like some grapes
PSYCHICS	Ones charging reading fees?
