TROTTER	Many a Standardbred
TRICKKNEE	It may require joint checking
RICEARONI	Popular side
OVERLORDS	Rulers' rulers
TILT	The earth is on one
TEA	Kind of service
ERNST	Novelist Jünger
RADIATOR	Fireplace alternative
MACHETE	Aid in raising cane?
MESMER	Austrian physician whose work laid the foundation for hypnosis
ASL	Digital communication?: Abbr.
CSA	11-member grp.
HAVEITMADE	Be on easy street
EYING	Checking out
TENTH	Kappa's position
ERGOT	Cereal killer
RIVIERA	San Remo setting
ESSAYER	One who's trying
ICELAND	Member of NATO
SLAVING	Hard at it
CERT	Like some checks: Abbr.
SIAM	Rodgers and Hammerstein musical setting
AGUN	Pull ___ on
ENTO	Inner: Prefix
KAL	___-El (Superman's birth name)
STAGEFRIGHT	It may interfere with delivery
SEAWEED	Jelly plant
FREDA	"Band of Gold" singer Payne
RELENTS	Lets up
KRONE	10 marks, once
NEONLIGHTS	Broadway sights
TURRET	Tank top
NOREASON	"Just because"
SERVE	Assist
ELMIRA	City where Mark Twain is buried
IMPRECATE	Curse
REASSURED	No longer worried
ANTEATERS	Hill predators
ENDOWER	Foundation, often
IDEAMEN	People known to have germs?
ITSAMESS	Statement made with a tsk, tsk
EISNER	Noted Hollywood exec
STANDPAT	Refuse to change
SETA	___ record
LEVIES	Imposts
INLAYS	Cloisonné clusters
TERSE	In headlinese, say
INCIDENTALS	Minor expenses
IDTAG	Label
NOOSE	Wild West justice
CUSHY	Hardly hard
LANCE	Cavalry soldier
ESA	Spanish pronoun
DOUG	Baseball's Drabek
LAMA	Man who's taken vows
SCUT	Cottontail's tail
SNOB	Judgment passer, perhaps
TOSHIBA	RCA rival
IRE	Boiling blood
BAR	Tender place?
ENSNARE	Catch
SOA	"___ wise guy, eh?"
ASHTRAY	Target of a flick
SCOOTER	Moped
GEYSERS	They send up jets
SEABEDS	Things fault-finders study
