AVER	State firmly
ACTA	Official proceedings
VOWS	Wedding exchange
ERIC	The Red
RECORDS	45's and 78's
BRED	Born's partner
BLT	Sandwich order
RIO	___ Bravo
EEL	Slippery one
DUDS	Garb
ADAM	Famous rib donor
ACQUIRE	Get
DOUBLETALK	Gobbledygook
ANA	Santa ___ (Pacific wind)
MEL	Sportscaster Allen
CORE	Heart
LIEU	Stead
SCONE	Teacake
SERVILE	Sycophantic
TWICETOLD	Like Hawthorne's "Tales"
ETAL	And more
EQUAL	Peer
ASCOT	"My Fair Lady" scene
SCRUB	Second-stringer
CAB	It'll take you for a ride
RATIO	Five-to-one, e.g.
TORI	Spelling of "Beverly Hills 90210"
ITALY	"Paradise of exiles": Shelley
OSTLERS	Workers in stables
AVILA	St. Teresa of ___
AMOLES	Soap plants
ODDLOTS	Some stock buys
OAXACA	Mexican state
DITTOMARKS	" "
BIREME	Galley type appropriate for this puzzle?
ENYA	One-named Irish singer
DAIS	Speaker's place
DEPS	Assts.
RATS	"Darn!"
SALEM	Oregon's capital
LETON	Pretend
EXT	Addl. telephone off a main line
VILLAGE	Hamlet
VINTNER	Ernest or Julio Gallo
GLEE	Elation
ALY	Rita Hayworth spouse ___ Khan
PATTI	Page of music
TRANCES	Hypnotic states
YELL	Speak to the hard-of-hearing?
FLEA	Dog biter
FORAGES	Searches for provisions
SCORNS	Has contempt for
SIE	"Sprechen ___ Deutsch?"
REEBOKS	Alternative to Nikes
BAJA	Lower California, familiarly
AMATI	Valued violin
SMEAR	Publish lies about
ANNES	Queen ___ lace
STUB	Ticket remainder
JAUNT	Short trip
UGLI	Good fruit with a bad name?
NELL	Dickens girl
TREK	Quite a trip
FORCE	Compel
FIB	Stretch the truth
ONO	Warbler Yoko
TWOBAGGER	Extra-base hit
WRY	Kind of humor
ODE	Lyric poem
BUS	School transportation
INKER	Contract signer
URDU	Official language of Pakistan
ELLE	Vogue rival
BOSS	Head honcho
BYES	Tournament passes
SILK	Fine pajama material
