DOBRO	Variety of guitar
DIPS	Stock market turns
OSLO	Parliament city
BLAH	Not piquant
RENEGE	Take back
OTELLO	Opera with "Ave Maria"
TROD	Walked (on)
TROMPE	___ l'oeil
ROPE	Part of a climber's gear
OLEG	Couturier Cassini
DECODES	Figures out
ZAPS	Touches with a live wire
ZAG	Quick sidestep
AMINO	Protein acid
PILOT	Person who sits in front of a cabin
SELMA	City famously visited by Martin Luther King Jr. in 1965
ISLET	Volcanic creation
ROLE	Part to play
AMIE	Jacques's steady
PLANE	Make smooth
OPEC	Crude org.
GILL	Mushroom cap part
SOHELPMEGOD	Hand raiser's declaration
POV	Motion picture angle: Abbr.
DARIN	"Beyond the Sea" singer, 1960
NOM	___ de guerre
GLOP	Far from haute cuisine
DAKOTA	1945 John Wayne western
KENO	Numbers game
WEREOVERHERE	Hand raiser's shout
WAIL	Banshee's cry
ELLA	"___ Enchanted" (2004 film)
RIOT	Gasser
RENEW	Ask for more issues
HAT	Beaver, e.g.
ALI	The Louisville Lip
EASINESS	Freedom from hardship
ELIA	"Dream Children" essayist
SILL	Threshold
SELL	Peddle
ILOVE	"Tell Laura ___ Her" (1960 hit)
VITA	Short biography
ETHIC	Body of good conduct
ANT	Burrowing insect
ADO	Hurry-scurry
NOLIE	"I mean it!"
LATITUDE	Leeway
URCHINS	Waifs
ILL	Not healthy
THROWTHEBALL	Hand raiser's cry
TAKEIN	Adopt, as a pet
HUP	March sound
EELIER	Harder to grasp
BRENDA	"Beverly Hills 90210" girl
MOSAIC	Fountain basin feature
MORAL	Fable conclusion
OUIJA	Board used in "The Exorcist"
SITAR	It was played by George Harrison
AUER	Violinist Leopold
OUI	Yes, to 16-Across
CHECKPLEASE	Hand raiser's request
EROO	Suffix with sock
CATO	Denouncer of Caesar, 63 B.C.
AIDS	Supports
SNIP	Use scissors
EKES	Squeezes (out)
RITA	Girl in Lou Bega's "Mambo No. 5"
ARK	Torah holder
IRAE	"Dies ___"
ININK	Confident way to solve crosswords
AJAR	Not completely closed
NOTI	"Don't look at me!"
EDDIE	Griffin of the N.B.A.
LARK	Bird that "at heaven's gate sings," in Shakespeare
SOON	Within the hour
RASPS	Rough tools
