REFITS	Tailors anew
REL	Jainism, e.g.: Abbr.
EMIR	Title from which "admiral" is derived
FIFI	Poodle's handle
ILENE	"Mr. Belvedere" actress Graff
TIOGA	New York county whose seat is Owego
SOFTSHOE	Dancing style
TURBAN	Swami accessory
TOYS	Kids' stuff
URLS	They may be bookmarked
REI	Portuguese king
BIG	Famous
ADHOC	Not permanent
NATTER	Go on and on
MDC	Year "As You Like It" debuted
MAC	Jobs output
DIRECTS	Tells how to act
CROCHET	Kind of hook
EKG	Ticker tape letters?
EATON	Use, as plates
KLIEG	Movie light
GLADE	Sylvan locale
EMILIO	Italian composer ___ de' Cavalieri
OREIDA	Frozen potato producer
AIRBALL	Complete miss
BAHA	___ Men ("Who Let the Dogs Out" band)
LIFEOFMYLIGHT	Bulb-buyer's personal concern?
MOTIF	Wallpaper design
CROATIA	Country founded by King Tomislav in A.D. 924
RINGTOSS	Lawn game
OTB	Estab. with closed-circuit TV
BOO	Cousin of a raspberry
ECHOED	Seconded
EAST	Whence daybreak
PACEOFCHANGE	Growth rate?
PAILS	Hard hats' lunch holders
ALDA	Oscar nominee for "The Aviator," 2004
FUEL	Feed
USM	Mil. branch
UPPER	Word with house or hand
SLYLY	On the quiet
MARIECURIE	Radioactivity pioneer
HIATAL	Having intervals
APSE	Recess
TRAM	Piccadilly Station sight
ROUTE	Way to go
PLACEOFPRIDE	Lion's den?
CID	El ___
ETERNAL	Going on and on
EDITH	One of TV's Bunkers
ESTATES	Left homes
ATRIA	Places for indoor plants
TONGUETIED	Speechless
ELEM	___ sch.
SERA	Some injections
PYRITE	Fool's gold
SALADOIL	Dressing ingredient
OTOE	Tribe related to the Missouria
IAMB	Foot
TOLE	Enamelware
ELIDE	Drop
LEMS	NASA craft
LOU	Reed in music
ITA	"Give ___ go!"
CORNER	Dog-eared piece
CERT	Legal writ, for short
ONEVOTE	Each citizen's right, in a democracy
RYE	Manhattan component
RIO	Brazilian hot spot
ISLE	___ of Skye
ATOM	Split bit
ATE	Downed
ENIGMA	It's not clear
CENSUSOFTHEBUREAU	Underwear and socks inventory?
ESTES	N.L. pitcher Shawn
SAHL	Comic Mort
OBIT	Something of yours you can't see
FLEER	Fugitive
UMS	Followers of wells?
CAUSAL	Kind of relationship
CHEF	Caterer's associate
AUDI	BMW competitor
ABLE	___-bodied
MTV	"Cribs" network
ELF	One with a pole position?
LEVAR	Actor Burton
FRERE	Partner, maybe, in a French firm
HURTLE	Rush
HIE	Get going
GELS	Sets
GETAT	Insinuate
EGON	One of the Ghostbusters
LOFT	Toss up
OTTER	Thick fur
TRY	Taste
EDIE	Emmy winner Falco
ALTEREGO	Tony Clifton, to comic Andy Kaufman
ASNO	"This should come ___ surprise"
RAMA	Avatar of Vishnu
STRIVE	Endeavor
SHAKEOFF	Lose
FIESTAS	Grandes celebraciones
TALKIES	Entertainment innovation of the 1920's
AGESAGO	Way, way back
RATOFTHEYEAR	[Insert your least favorite politician's name here]?
TRAIL	Follow
AGNES	Historic 1972 hurricane
EFF	Worst grade
SHEARS	Removers of locks
MANTRA	You can say that again
DRE	Rap's Dr. ___
BATTLEOFHEAT	Police contest?
BWANA	Swahili sir
ARCED	Rainbowlike
TEASE	Fluff, in a way
TACT	Delicacy
EERIE	Haunting
AKIM	Actor Tamiroff
INFER	Draw
MATEY	Swab's sobriquet
WREAKS	Produces
FEE	Late ___
ALIENATE	Turn off
AVER	State
LADS	Boys
TILE	Terra-cotta piece
EMER	Part of E.M.T.: Abbr.
ACACIAS	Knobthorns and wattle trees
SGT	P.D. rank
ARRIVALOFTIME	What a magazine subscriber may await?
ROD	Old-fashioned punishment
ITE	Suffix with suburban
ERS	TV drama sites, for short
NESTEGG	Rainy day resource
RIOTED	Joined the mob, maybe
FEELER	Trial balloon
ADE	Summer quencher
SOT	Lush
SEDERS	"Why is this night different …?" nights
FRYERS	Young chickens
