STY	Grunt site
SKIMPON	Not provide fully
TREASON	Subject of Article III Section 3 of the Constitution
YARN	Ball material
SASHES	Pageant attire
SUBARU	One of two cars besides a Cadillac named in Springsteen's "Pink Cadillac"
AMATI	The Brothers ___ (violinmakers)
SIGEP	Popular fraternity, familiarly
HAMEL	Actress Veronica of "Hill Street Blues"
EKE	Barely make, with "out"
SSN	Job application info: Abbr.
BIC	Pen name
BELMONT	Part of the 23-Across
INPOWER	Ruling
CANONRY	Church office
OKRA	Vegetable sometimes grown as a flower
OPTIMA	Perfect conditions
UMIAKS	Walrus-skin boats
ENA	Spain's Victoria Eugenia, familiarly
PIER	Seafood restaurant locale
BAGMEN	Mafia runners
LPN	I.C.U. figure
TMAN	Bad bill collector?
ATEE	Perfectly, after "to"
OMOO	1847 novel involving a mutiny
ORI	"Withhold no atom's atom ___ die": Keats
IPS	Tape speed abbr.
TRIPLECROWN	It comprises the 10-Down, 34-Across and a third part found elsewhere in the grid
THERESA	The Little Flower of Jesus
ERSE	Manx relative
CATSEYE	Certain shooter
MOOSHU	Kind of pork
SIP	Sample, in a way
RAINER	Best Actress winner for "The Great Ziegfeld," 1936
ANNIE	Musical with the song "It's the Hard-Knock Life"
COAST	Proceed effortlessly
CAW	Quote the raven?
OKA	River to the Volga
ANY	"___ questions?"
TRY	Sample
PREAKNESS	Part of the 23-Across
ELEV	Map abbr.
SAN	___ Juan
COB	Bit of autumn decoration
CUTRATE	Marked down
OPHELIA	"O, what a noble mind is here o'erthrown!" speaker, in Shakespeare
BREEDER	One with a stake in 48-Across, say
ELWAY	QB who was the Super Bowl XXXIII M.V.P.
EAGER	Itchy
GAMEBOY	Nintendo product
EMPLOYS	Has working
ROSSES	Family in Upton Sinclair's "Oil!"
UPRISE	Revolt
IFS	Conditions
DYNAMO	Ball of fire
DTRAIN	Public transportation to New York's Yankee Stadium
THEFAVORITE	One that bets are on
ODIST	Wordsworth, e.g.
REGIS	Denver's ___ University
IAMSO	Response to a disbeliever
MPS	AWOL catchers
REES	Roger of stage and screen
DEAR	Sugar
RELS	Genealogical listings: Abbr.
ROTS	Spoils
ALD	Certain council member: Abbr.
STIGMA	Black mark
SAL	___ the Stockbroker on "The Howard Stern Show"
TSE	Literary inits.
OBOE	Kind of reed
TIE	Standoff
ASSISI	Birthplace of St. Clare
TOYS	Chest contents
EAR	Tarsus : foot :: incus : ___
LETSON	Admits
SYS	___ admin
