PADS	Brake components
PEPS	Energizes, with "up"
ARAW	Get ___ deal
DIVA	Opera star
SKIMP	Economize
ZADORA	Actress Pia
ZIG	Make a sharp turn
ANG	Director Lee
DARYL	Hall of fame
OBAMA	Winner of 2008
RICAN	Costa ___
ATE	Had a hero?
COW	Intimidate
CARROTCAKE	It often has cream cheese frosting
OLDER	Grayer, maybe
WISED	Smartened (up)
ERIK	Edgar-winning writer Larson
INABIT	Presently
ALI	Title role about a titleholder
PAVINGGRACE	Elegance in road construction?
NILE	View from Abu Simbel
RDS	Rtes.
SWAMI	Turban wearer, maybe
YMA	Singer Sumac
FREE	Big word in advertising
FLAILS	Thrashes about
PLUMLANDLORD	Desirable guy to rent from?
URGE	Yen
MAIDS	Hotel employees
DORA	TV explorer
SAC	Anatomical pouch
SFPD	Org. in TV's "Nash Bridges"
ALOE	Soothing plant
COUNTBASIE	"Jumpin' at the Woodside" composer/bandleader
ERA	Historical chapter
OAT	Nosebag tidbit
FLOE	Big chunk of ice
ENTICE	Tempt
GIGS	Band jobs
GTO	Classic muscle car
SHORT	Brief
RICKI	Lake of TV
KRIS	___ Kringle
IMPS	Some tricksters
POUNDEDTHEALARM	Hit "snooze" with force?
DEMO	Mailing to a record exec
ETAT	Floride, e.g.
DENTE	Al ___
SOOT	Blackener of Santa's suit
SKIP	Not attend
TIM	Boy in "A Christmas Carol"
RAD	Like, awesome
DEFY	Stare down, say
ESS	Feminine suffix
PUBCOMMITTEE	Council of Guinness drinkers?
PILLS	Aspirin and such
URIAH	Heep of fiction
MOOED	Lowed
MAUNA	___ Loa
IRREG	Markdown abbr.
ELSIE	Borden cow
IRAE	"Dies ___"
OAR	Scull
FLATS	Alternative to high heels
ATRA	Trac II alternative
TOMS	___ of Maine toothpaste
SPAY	Neuter
LIS	Fleur-de-___
FOURWAYSTOP	Feature of some intersections ... or a five-word hint to 17-, 23-, 40- and 50-Across
FAA	Sky safety org.
WII	2006 Nintendo debut
ADO	Fuss
LAI	"Love Story" composer Francis
AENEID	Old war story
IRMA	Cookbook writer Rombauer
SHE	Donna Summer's "___ Works Hard for the Money"
ADAGIO	Slowly
EASY	"Careful now"
