STAR	Headliner
SHAVE	Partner of 79-Down
TALON	It may connect a limb to a branch
ABATE	Ease
RIME	Frost
HOSPICE	Where a stranger may be taken in
HEF	Nickname in adult publishing
ONEACT	Like an hour-long play, perhaps
STASH	Hide
PITHY	Like many adages
ITHE	Jackie Wilson's "Am ___ Man"
CLENCHED	Came to grips with?
EER	Suffix with sonnet
TRADING	Wall Street activity
TRIAL	Partner of 98-Down
RELIEVED	Saying "aah," perhaps
ATON	Piles
DIS	Put down, to Puff Daddy
INTER	Ensepulcher
NAILS	Catches but good
GETIT	Partner of 101-Down
HABIT	Attire
TORTOISE	Partner of 41-Down
ENTITLE	Authorize
RETINAE	Picture receivers
ALAMO	Football's ___ Bowl
FEATHER	Partner of 60-Across
ILOSTIT	Classic answer to "Where's your homework?"
VOTERS	People with a poll position?
SEACOAST	Beach area
ASHEN	Doughy
GAIN	Put on
GIN	Partner of 75-Across
ELI	Clockmaker ___ Terry
ENE	From Okla. City to Tulsa
TETCHY	Irritable
TSE	Lao-___
CHILE	Where the monkey-puzzle tree grows
HAD	Kept
ERST	Once, once
EMOTED	Was a bad player, perhaps
TOAST	Part of a wedding reception
TENSE	Ex-lax?
KHAN	Wrathful one in a "Star Trek" sequel
KNEED	Injured sneakily
VIM	Dash
INSPAN	Harness
HOMEICE	Where a hockey team has the advantage
HARE	Partner of 20-Down
OLES	Shouts to toreadors
MODS	Up-to-date dressers
AWNED	Bearded, in a way
ARIDEST	Superlatively Saharan
WIDE	Partner of 85-Down
MENORAH	Hanukkah centerpiece
METRIC	Kind of unit
RARA	Hard to find, to Hadrian
ARMY	Kind of unit
HTS	Alts.
ALONSO	"The Tempest" king
DRIED	Partner of 76-Across
DRAGOUT	Protract
REDSTART	Songbird
REALISM	Flaubert style
REDSEA	Where Solomon's navy was built
RIDE	Go by bus
SET	Partner of 88-Across
STANDEE	One who envies the sitter?
PERMS	Makes waves?
ESSE	To be, in old Rome
SPADED	Dug, in a way
PASCAL	Pioneer in probability
TAR	Partner of 24-Across
ADAY	Partner of 108-Across
STAGE	Wild West transport
SECEDE	Withdraw
ALIGN	Make true
GHETTOES	Rundown areas
HIRE	Take on
HOAR	Frost
INRE	Message starter
RIVERS	Kansas and Kentucky
SOS	Call for help
MUNICH	1972 Olympics site
MARSH	Sedgy stretch
UNOS	Juan's ones
GINA	Actress Gershon
GRIND	Tough job
INEZ	Don Juan's mother
NEVA	St. Petersburg's river
ADES	Thirst quenchers
TONIC	Partner of 29-Down
TMC	HBO alternative
CUT	Partner of 51-Across
ANDS	Connectors appropriate to this puzzle
EARNED	Deserved
AHAIRCUT	Partner of 1-Down
MARVELAT	More than admire
LAVALIER	Necklace pendant
PROEM	Introduction
POSTPONE	Put off
THIEVE	Filch
CREEDAL	Like some church statements
FOSSE	"Cabaret" director
FAR	Partner of 45-Down
STANZAS	Song parts
SEM	School yr. part
REV	Flock tender, for short
WASH	Partner of 55-Across
WON	Didn't just place
GEOID	Earthlike shape
GREENE	"The Third Man" author
PINS	Partner of 115-Across
POPUP	Easy catch
INANE	Cockamamie
NORTE	Rio Grande do ___ (Natal's state)
ABORT	End early
BALDS	Gets bare on top
WARMER	Not as aloof
WIELD	Handle
ANVIL	Part of the ear
GEM	Masterpiece
GREBE	Loon's cousin
ERROR	Partner of 12-Down
MYSON	Biblical words repeated after "O Absalom"
ONO	John ___ Lennon
CLAN	Family
COME	Partner of 18-Down
PAINE	Declaration of Independence signee
ARIE	Two-time Indy winner Luyendyk
SCURRY	Rush
USAF	Flyboy's org.
PARBOIL	Precook
BAL	___ masqué
FOREVER	Partner of 61-Across
FAN	Shoot the breeze?
RES	Attorney's object
USERS	On-line group
UNTAMED	Wild
ANILINE	Dyemaking chemical
TABOO	Just not done
PEELERS	They go around in the kitchen
NEEDLES	Partner of 90-Across
FERN	Bit of greenery
