ASTAB	Take ___ at (try)
ANO	It begins with enero
SEL	Partner of poivre
THEATER	Play ground?
ARISTA	Record label founded by Clive Davis
BUCKETSEAT	*Sports car feature
EXERT	Wield, as influence
ESPN	Disney-owned channel
XER	Gen ___
ENAMEL	Nail polish
RODIN	"The Gates of Hell" sculptor
TRON	Pioneering 1982 sci-fi film
CAM	Lens holder, for short
CATSEYE	*Colorful marble
ALIENEE	Property receiver
MENTORS	Gurus
NEHRU	Statesman known popularly as Panditji, or "Scholar"
SENOR	Mister abroad
ALE	Draft choice?
OLEIC	Kind of acid
PRADO	Place to see a Goya
TIN	Cookie holder
ASKIN	Show hospitality at the door
INSIST	Not give an inch
MINTSET	*Coin collector's purchase
TRULY	In fact
KITTEN	Tom, at birth
KGB	Org. in which Putin was once an officer
IRA	Roth ___
MEN	Game pieces
MASSEUR	Rubber
RENO	Splitsville?
GREATSEAL	*It has "E pluribus unum" on it
ENT	Suffix with differ
BUYER	Broker's quarry
BESTSELLER	*What a writer hopes to write
BAR	Setting for many a joke
SINS	Peccadilloes
MELEES	Donnybrooks
MAITRE	Teacher at an école
RESTSEASY	*Has a clear conscience
ROTOS	Old newspaper sections
EMS	Grp. gotten by dialing 911
PTBOAT	Small military craft
PRELIMS	Tourney starters
THREERS	Education fundamentals
BENTSEN	*1988 vice-presidential candidate
EMIT	Release
RED	Side in checkers
REINSIN	Restrains
ETE	When the French fry?
DVD	Movie format
RHETT	Butler at Tara
MUSTSEETV	*"Friends" was once part of it
MATURE	Adultlike
ETOILE	Prima ballerina
ERNO	Cosmetics maker ___ Laszlo
PAR	It may not be easy to shoot
PANEL	Jury
RETIED	Fixed, as a loose lace
LETSEAT	*"Dig in!"
EKES	Squeezes (out)
FELON	Menace to society
FEET	Pedal pushers
IES	Suffix with Moon
KNUTE	Rockne of Notre Dame fame
TIP	Show instability
LISZT	"A Faust Symphony" composer
ZEE	Last of 26
TSE	Literary monogram found in the answers to the nine asterisked clues
MRE	G.I. chow
EERIE	Spine-tingling
ELIES	Wiesel and namesakes
SSN	One form of ID
SLEPT	Was out
RENEE	Soprano Fleming
