GOAT	Big kid?
GUAM	Acquisition of the U.S. in the Spanish-American War
ONCE	A while ago
ALEX	Doonesbury's daughter in "Doonesbury"
TVDINNER	Takeout alternative
BARDS	Burns and Cowper
BELAIR	1950s-'70s Chevy
AXEL	Jump and a twist
REMI	Do trailers?
DRUM	Run (out of)
STREAKED	Like some poorly washed windows
PLOP	Sit heavily
POTION	Aphrodisiac, perhaps
LAIC	Not of the cloth
OHNO	"Horrors!"
PUG	Palooka
UNLV	Sch. of the Runnin' Rebels
EXERT	Apply
OAHU	Locale of the highways H1 and H2
ACED	Served to perfection?
LEMUR	Animal in the 2005 film "Madagascar"
TING	Sound of silver striking crystal
MEXICALIMEXICO	South-of-the-border border town portmanteau
COON	Nighttime scavenger, informally
XMAS	$hopping season?
NOI	"___ certainly do not!"
AMO	Te-___ cigars
KANORADOKANSAS	Plains border town portmanteau
KATIE	Holmes of "Dawson's Creek"
ATALL	In the least
AWARD	Bestow
DIRGE	Doleful air
ONEIL	Buck ___, first African-American coach in Major League Baseball
SLYER	More foxy
AERIE	Raptor's perch
SOON	"So ___?"
EATEN	Downed
ESTD	Abbr. before a date
WINES	Cellar stock
LEO	Cheerful, proud, powerful sort, it's said
STAR	Each state, symbolically
DARED	Displayed audacity
DORMROOM	Campus digs
PYRO	Fire starter?
PEACENIK	Dove
TIL	Up to
CORGI	Cattle-herding canine
CARA	Italian sweetie
SEEIN	Usher to the parlor
SWAT	Team letters
DELMARDELAWARE	Mid-Atlantic border town portmanteau
MAXOUT	Hit the limit
ALARMS	Bells and whistles, say
ARM	Issue pikes and poleaxes, e.g.
LAC	Switzerland's ___ Léman
TEXARKANATEXAS	South-central border town portmanteau
TREE	Decision-making diagram
EZRA	Fitch of Abercrombie & Fitch
KANE	Sugar ___, Marilyn Monroe's role in "Some Like It Hot"
ATEE	To ___ (just so)
NEAT	Straight up
XORO	Tic-tac-toe choice
AVON	Skin So Soft maker
SANG	Trolled
ORZO	Minestrone morsels
OPT	Make up one's mind
OATER	"The Big Trail" or "The Big Stampede"
NOVA	Source for an outburst
PERU	The Putumayo River forms part of its northern border
ONEAM	Two bells, in a sailor's middle watch
IRON	Pressing need?
TEAT	Milk dispenser
MEETS	Encounters
KONG	Donkey ___
