LARAM	Onetime N.F.L.'er
LEW	Gumshoe Archer
ALEG	Shake it or break it
RIDS	Purges
ASSUCH	In itself
MANILOW	"Could It Be Magic" singer, 1975
HEMP	Illegal crop
HEP	With it
EPPS	Actor Omar
MEETS	Chances upon
PERIL	Sword of Damocles
SOUL	Philosopher's study
SAWTEETH	Serration
ONASTREAK	Hot
UNI	Prefix with valve
LAVS	Johns
DEFER	Yield
DANCERS	Frequent Degas subjects
EGGCRATE	Divided into cell-like areas, as a ceiling
FAME	"A fickle food upon a shifting plate": Dickinson
ETAS	Flight board data, briefly
REDS	Wine selections
ELISA	"I Still See ___" ("Paint Your Wagon" tune)
EPEE	Pointless event?
ANNA	Soprano Moffo
AGATE	Quartz variety
WEDSNAPPER	Fishwife?
ATELIERS	Places for canvases
WAIVINGMAD	Turning down a satirical magazine's subscription?
IUM	Elemental ending
GSUIT	Outer-space wear
STILTS	Clowns' aids
LEDS	Watch readouts, briefly
SUCCESS	"Eureka!"
CLEM	Mr. Miniver in "Mrs. Miniver"
MENLO	___ Park, N.J.
SLEETS	Storms, in a way
SARGE	One who knows the drill
MER	Mal de ___
UNWHOLE	In pieces
UNITS	Hand and foot
NEWEL	Stairway post
WEARINGTOGO	Not putting clothes purchases in a bag?
DERAT	Rid of vermin
TSARS	Bygone autocrats
RAWER	More wet behind the ears
WOMBSERVICE	Obstetrics?
EVERI	"If ___ Would Leave You"
RERAN	Printed in an anthology
NEE	Society page word
WINGMASTERS	Expert bird doctors?
GITS	Amscrays
MOTHS	Hole makers
ATEAMS	Special forces units
STOVE	Pilot's place
IWAS	"___ Made to Love Her"
SANYO	Sony competitor
ELIOT	"Daniel Deronda" author
HAGAR	Helga's husband, in the comics
RBI	Suicide squeeze result, maybe
EMER	Like some profs.
TERA	Trillion: Prefix
ROTTED	Became inedible
DREAM	Ideal
KERBS	Where Bentleys may be parked
SNIT	Miff
BRA	Kind of strap
SLINGS	Arrows' partners
GELD	Neuter
SHARP	Tacky?
PALISH	A bit peaked
SINKSIN	Becomes evident
KRAIT	Venomous cobra
NYE	Comic Louis
SMEAR	Window cleaner's goof
RUNTO	Total
IRE	Spleen
GIGOLOS	Ladies' men
GAMAL	President Nasser
INONE	"___ ear..."
OOH	"I'm impressed!"
SLAWS	Shredded sides
SALUD	"Here's to you!"
DUET	"Heart and Soul," to young pianists
STARTS	They're sometimes running
STOUTISH	A bit thick
TATAR	Crimean native
SNORE	In cartoons, a whistle may follow it
ANT	Tidbit for an echidna
DOLED	Rationed (out)
EDITS	Blue-pencils
DEDICATEE	Name in the front of a book
MINUET	"The ___ of the Courtiers" from "Rigoletto"
ENGEL	Tony-winning conductor Lehman ___
IVAN	John, abroad
MOOS	Roundup sounds
SUNDANCE	Butch's pal
HADES	Nether world
SELASSIE	Rasta's messiah
STENO	Court employee
TITO	Yugoslav patriot
ANGUS	Cattle breed
SECRETS	Fraternity handshakes, maybe
WIDESHOTGUN	Triple-barreled weapon?
SEMI	Formal introduction?
NAMETAG	It may say "Hello"
CAR	Elevator ___
LEONE	Western director Sergio
STILE	Token taker
ETAGERE	Knickknack holder
GOPHER	Minnesotan
DCL	Year in Martin I's papacy
LUC	Jean-___ Picard of "Star Trek: T.N.G."
SCAMPS	Urchins
PAWNS	Tools
SNEAK	QB's ploy
LIMO	C.E.O.'s convenience
AREARUG	Throw
AWED	Blown away
RAJA	Big Indian
EYER	Watchful one
GODS	Neptune and Pluto
ASIANS	Japanese, e.g.
SINE	It ranges from -1 to +1
SEPTS	School mos.
TIRE	Poop
SKIT	"S.N.L." offering
WAYNECOATS	Duke's closetful?
ARP	Noted Zurich artist
WEIGHTHIKE	Result of Thanksgiving dinner?
GAD	Flit (about)
EEE	Shoe store spec
EJECT	Bail out
DREI	Eins + zwei
NANA	Barrie pooch
AERIE	Lookout point
DARES	Starts of some pranks
SPEE	Graf ___
SKED	TV Guide info
GRETE	Marathon legend Waitz
