CAPO	Syndicate biggie
CUREDHAM	Prosciutto
ALOEVERA	Natural soother
PAM	One of the Ewings
ONAGAINOFFAGAIN	Fitful
BLAS	San ___ (Caribbean gulf)
BRA	One supporting a woman
LENNIE	"Law & Order" detective Briscoe
ANTIC	Ludicrous
STICKTOONESGUNS	Be resolute
CBS	Good buddies use them
CRUSOE	Survivor of literature
BESIDE	Not pertinent to
SETAE	Biological bristles
MULAN	Animated musical of 1998
MAHATMA	Venerated pundit
RENTFREE	Cheap way to live
FRO	Back again
AROMAS	Kitchens supply them
SEINERS	Workers concerned with net returns?
ANTIRUST	Like some protective coatings
HEE	Snicker syllable
GED	It may be obtained before going to coll.
DRURY	Pulitzer winner for "Advise and Consent"
NICOSIA	Cypriot hub
ADV	Fully or partially: Abbr.
AIRSICK	High and low?
STS	Rte. suggestions
ODE	Lines that elevate
THEMINUTE	What a hip person may be up to
MITER	Kind of box
TREE	Bring to bay
RIOTS	Real cards
MARINERS	They're accustomed to pitching
POI	Island paste
PLAITER	Certain hair stylist
AMATORY	Erotic
BLOOPER	Goof
BEVEL	Oblique
PITAPATS	Rain may produce them
EMANATES	Issues
REREDOS	Ornamental wall behind an altar
EFS	Bad grades
MEANTIME	Intervening stretch
MOL	Elem. unit
ZARF	Cup holder
ZINGER	Bon mot
ACTONE	Broadway opening
MOVIESTAR	One who gets the biggest part?
MURIEL	___ Spark, creator of Miss Jean Brodie
SIC	Set (on)
SIEGE	Not just a raid
AMULETS	Supposed sources of good fortune
MENLO	___ College near San Francisco
ANE	It makes a man mean
INTEGER	Zero, e.g.
EMT	One seeking signs of life?: Abbr.
LEG	Something to stand on
PAD	Crash site?
EGOMANIA	No lack of self-confidence
ASA	Rule preceder
RUBATO	With freedom of tempo
BOA	Vamp's accessory
GENTILES	Christians
NOTES	Scribbles
ERE	"___ the mother's milk had dried": Kipling
NOLA	Vincent Lopez standard
SASS	Cheek
