JIBED	Agreed
JEBBUSH	Founder of the Foundation for Florida's Future
IMEANTIT	"That wasn't a joke!"
BOTSWANA	Its capital is Gaborone
ETCHINGS	Artistic impressions?
DEHISCES	Bursts open, as legume seedpods
GLINDA	"Only bad witches are ugly" speaker
GEMSTONE	Set piece?
LEAPER	Ballerina, often
IDLING	Inactivity
NEARTO	By
DRYEST	Least exciting
ASAS	Politico Hutchinson and others
EMOTER	Drama queen
RANEE	Asian royal
SPEEDERS	They might be weaving
SHIPIN	Send from abroad
PINAFORE	Blouse coverer
BETCHA	"You ___!"
HIMALAYA	Asian range, with "the"
BASHIN	Break by hitting
INSPIRES	Prompts
UNWISE	Apt to turn out badly
PATENTS	Trademark relatives
STANCE	Something taken before swinging
IFORGOT	Lame excuse
HINGE	Opening and closing facilitator
ANON	Soon enough
ALIENEES	Heirs, legally
TASSEL	Loafer attachment
ENTITLES	Licenses
REDANT	Common household pest
DEMANDED	Said while pounding the fist, say
APPROVER	One signing off
NEUTRINO	It's free of charge
TERRACES	Apartment adjuncts
NICE	"Sweet!"
CREDIT	It needs to be built up when it's bad
EPEES	Sports equipment wired for scoring
SEEKERS	Participants in a kids' game
SCEPTER	Bit of regalia
STARRY	Like some nights and eyes
CARTIN	Deliver by truck
ENRICO	Lucia's brother in "Lucia di Lammermoor"
PLACID	Opposite of turbulent
IMPURE	Mixed with something else
ISAAK	Singer of the 1991 hit "Wicked Game"
TANLINE	Separator of light and dark
SARTRE	"Les Mains Sales" playwright, 1948
NARRATED	Delivered by a third person, perhaps
NAPS	Refreshing things
ANORAK	Snow-covered cover-up
ARTICLEI	It contains the three-fifths clause
ADVICE	It's typically easier to give than take
PRICIEST	Setting one back the most
KEENER	Comparatively shrewd
SYNODS	Ecclesiastical districts
DROSS	Trivial stuff
