TIES	Musical marks
TALC	1 on the Mohs scale
IDOL	One on a pedestal
EZRA	Pound of verse
SEDUCE	Break down and then draw in
UNPC	Potentially offensive
UNDERSEA	Like Cousteau's work
NEURO	Prefix with transmitter
PROAM	Tourney for all
COSI	"___ fan tutte"
GIJOE	Doll for boys
GOESMAD	Loses it
ISM	Philosophy
JOANRIVERS	"Enter Talking" autobiographer, 1986
OLIO	Hodgepodge
EELS	They're caught in pots
ADZE	Shaping tool
NERO	"Quo Vadis" role
OSOLE	"___ Mio"
LORD	Manor man
DUOS	Some folk acts
EMAIL	Some BlackBerry reading
CLAUDERAINS	Captain Renault player in "Casablanca"
DDAY	Do-or-die time
NON	NCO part
NOS	Those against
CDROM	Software pkg. item
OMAR	Actor Epps
ALAS	[sigh]
HABEAS	___ corpus
HIRAM	U. S. Grant's given first name
ADELA	___ Rogers St. Johns
BILLYOCEAN	Singer with the 1984 hit "Caribbean Queen"
UNALIKE	Different
USAF	B-52 org.
KITES	Symbols of highness
ESSAY	Op-ed piece
IDI	___ Amin in "The Last King of Scotland"
YEAHS	Slangy assents
ATNO	Au's is 79
HTO	Theme of this puzzle
DAVIS	Nancy who married Ronald Reagan
RELS	Reuners: Abbr.
SOBS	Shows disconsolateness
ATTAM	When clocks are changed back from D.S.T. in the fall
MEGAWATT	Electrical power unit
SETS	Fixes the time on, as a clock
ALLOR	___ none
REHEARD	Listened to again
NOFEE	Like some checking accounts
ELIA	He directed Marlon
REA	"Citizen X" actor
MAYBESO	"It's possible"
SAT	Went nowhere
GLASSY	Like some stares
ANTLER	One in a rack
OSHA	Dept. of Labor div.
AGAIN	From the top
AERIE	Mountain home
GLEAN	Reap
AMC	Film lover's channel
ASOF	Starting on
MINI	Certain iPod
ETHELWATERS	Oscar nominee for "Pinky," 1949
HAFT	Sword handle
EURO	Mark's replacement
RAID	Bookie's worry
SUES	Hauls to court
SIENA	Tuscany city
NIE	Never, in Nuremberg
AREA	Zone
LUAU	Island do
ONAIR	Studio sign
FIAT	Decree
ERIE	Jay Gould railroad
FINED	Slapped in court?
TENT	Revival setting
RODS	Partner of cones
