BRIT	Telly watcher
BMWS	Upscale autos
REAM	Photocopier tray capacity, maybe
INFO	Google users seek it
TUFTS	Massachusetts university
DWARF	Companion of Snow White
DRE	Rap's Dr. ___
WAC	W.W. II-era female in uniform
AVOCADO	Guacamole base
RENO	Gambling mecca
FLEWBY	Passed quickly
BAWL	Cry out loud
BOY	Part of EGBDF
AHAMOMENTS	Occasions to cry "Eureka!"
WINO	"Brown bagger"
LOKI	Mischievous Norse god
MENU	PC pop-up
RAVEL	"Boléro" composer
OHIO	One of Pittsburgh's three rivers
WAFFLECONE	Ice cream holder
LEIF	Explorer Ericson
YANK	Pull hard
SMOTE	Whacked, in the Bible
COWL	Monk's hood
LORNA	___ Doone cookies
MOI	"You can't mean me!?"
SIMBA	Lion in "The Lion King"
MOOT	___ court (law school exercise)
BOBSUP	Rises suddenly, as a buoy
BOZO	Classic clown
ZAIRE	Where Ali dethroned Foreman
AND	"Then what happened?"
ABOMB	Focus of the Manhattan Project, briefly
NOCAL	For dieters
DOTCOMBOOM	Short-lived economic expansion of the late 1990s
FOODPYRAMID	Diagram of nutritional needs
PELTER	Snowball hurler
ICONS	Desktop images
DEFAT	Trim, as meat
BOOS	Responses to bad calls
SARGE	Looie's underling
OBOE	Cousin of a bassoon
NIECE	Actress Emma Roberts, to Julia Roberts
OCTANTS	Many pizza slices, geometrically
NOOIL	Cause of a blown engine, maybe
LEARNOF	Hear about
EARN	Get through hard work
MACRO	Large in scale
USTA	Ashe Stadium org.
SHOWBIZ	Movies, TV, Broadway, etc.
ETNA	Volcano in Verne's "Journey to the Center of the Earth"
BLOGOSPHERE	Community of Web journals
SNORED	Sawed logs, so to speak
EONS	How long it takes canyons to form
SST	Old J.F.K. lander
MEIN	Chow ___
ORNOT	End of an iffy statement
TACET	"Be silent," in music
JAB	Ring hit
JAIL	One corner on a Monopoly board
ATTA	Lead-in to a congratulatory cry
LOEW	Theater mogul Marcus
EURO	100 cents
NAGAT	Bother persistently
GURU	Wise one
ABIT	Kind of
TENS	Sawbucks
ATOZ	The works
ZOE	Playwright Akins
RUBIKSCUBE	Six-colored puzzle
IKE	Former White House moniker
KAN	Bob Dole's state: Abbr.
ITOO	Langston Hughes poem
ERIKA	Actress Christensen of "Traffic"
ERIN	Isle of poetry
LAME	Weak
DOZEN	Baker's 13
TUTS	Sounds of disapproval
