MATS	Wrestling surfaces
MASCOT	Georgia's bulldog or Princeton's tiger
ATEASE	"Relax, soldier!"
TRANCE	Hypnotized state
SANAA	Yemen's capital
MESAS	Small plateaus
MADISON	President after Jefferson
ELEA	Home of Zeno
SEWN	Stitched
ARABS	Most Yemenis
STRANGE	Eerie
AGES	Gets on in years
ARLO	Folkie Guthrie
GOINGFAR	On the path to great success
ETS	U.F.O.'s crew
SEA	Word repeated in the lyric "From ___ to shining ___"
ATRA	Pioneering razor with a pivoting head
ALERT	Bright-eyed and bushy-tailed
ROTE	Tedious way to learn
SEAN	Actor Penn with two 23-Across
DEWAR	Big name in Scotch
LISA	Bart Simpson's brainy sister
CANADIANBACON	Meal money in Manitoba?
DRNO	Villain in the title of a James Bond book
CLAY	Ali, before he was Ali
OSCARS	Academy Awards
SNL	Show that launched Eddie Murphy and Chevy Chase, for short
GAT	Gangster's gun
ALCS	Part of baseball's postseason: Abbr.
TYKE	Rug rat
TEE	Golf peg
NOSH	Quick bite
STEN	British W.W. II gun
HERBS	Parsley, sage, rosemary and thyme
GADFLY	Persistent, irritating critic
DJED	Played records at a party, say
MONTEREYJACK	Meal money in California?
MALI	Where Timbuktu is
RARE	Opposite of well done
COMA	Unconscious state
CITE	Quote from, as a legal case
OTIS	Elevator pioneer Elisha
MAMABEAR	Who owned the too-soft bed that Goldilocks tried
ERA	Cenozoic or Mesozoic
ERSE	Scots Gaelic
ITALIANBREAD	Meal money in Tuscany?
INNS	Quaint roadside stops
AGITATO	Energetically, in music
ERNESTO	Che Guevara's given name
AFAT	"... to buy ___ pig"
TIMING	Comic's asset
SERF	Feudal worker
SPF	Tanning lotion letters
SCULLY	Mulder's partner on "The X-Files"
PACKER	Green Bay athlete
FRESCA	Sprite alternative
ESA	Spanish "that"
NIC	Actor Cage, familiarly
COROT	French painter of "Le Pont de Mantes"
NASCAR	Daytona 500 acronym
STEAK	The "turf" part of "surf and turf"
BOSTONLETTUCE	Meal money in Massachusetts?
ODDS	2:1 or 3:1
NILE	River near the Great Pyramids
LEER	Wanton look
RUED	Was sorry about
RAH	"Go, team!"
UTE	Sport-___ (vehicle)
ARIES	The Ram
ELKS	Benevolent and Protective Order group
ATAD	Not much
TOLET	Boardinghouse window sign
ALEC	Baldwin of "30 Rock"
HERS	Not his
OTERO	New Mexico county whose seat is Alamogordo
KYRA	Actress Sedgwick of "The Closer"
