PWATCH	Item on a chain
PSIZE	Miniature
WASON	Had a base in baseball
AHOOT	"What ___!"
TAMMI	1960's singer Terrell
CREST	Procter & Gamble brand
HAR	Laugh sound
OPENSEA	Deep water
OENO	Vintner's prefix
PROVE	Turn out
ERTES	Some Art Deco works
NARITA	Tokyo airport
STATEMAP	Road atlas part
EUR	Port. is part of it
AMERICANENGLISH	Language that favors "sedans" to "saloons"
HOTP	Microwaveable lunch sandwich
HOOHA	To-do
OLSEN	Half of a 1930's vaudeville duo
TATAS	Byes
PVETO	Presidential prerogative
SAHARA	3 1/2 million square mile expanse
ERRATUM	Lapse
OLAV	Antarctica's Prince ___ Coast
ISOMER	Diethyl ether, to butanol
NOTRARE	Medium, maybe
OSTE	Bone: Prefix
ZOOMS	Whizzes (by)
MOVEIT	"Go!"
MESAS	Mojave Desert vista
REHEAT	Prepare, as leftovers
ECO	Green: Prefix
ENTITLE	Authorize
LAB	Family pooch
ESTE	Renaissance family name
ICANSO	Playground retort
ASA	___ given
ANNA	Actress Karina who played Scheherazade
AMOCO	1998 British Petroleum acquisition
OREL	City SSW of Moscow
SPERMBANK	It has frozen assets
SCAG	Heroin, slangily
PALE	Anemic-looking
ECON	Coll. major
RATERS	Judges
MOORE	Longtime Lone Ranger player
KASBAH	Old section in Algiers
ARA	Constellation next to Telescopium
ESPO	1969 N.H.L. M.V.P., familiarly
EZRA	Prophet who led Jews back to Jerusalem
SHERRI	L.P.G.A. star ___ Turner
POSTER	Campaign need
OUTOFP	Like some expenses
CACAO	Tree with pods
SNAPOPEN	Undo, as binder rings
POOLTABLE	Image this puzzle grid is supposed to suggest
OFF	Mistaken
ZHOU	Hua's predecessor as Chinese premier
ALOTOF	Many
FIVEMINUTEBREAK	Quick timeout
ASOF	Starting
LEGREST	Recliner feature
GEO	Prefix with centric
GENERIC	Brand X
CIII	Early second-century year
BOFF	Hit, in Variety slang
FLAT	Lacking sparkle
NEARTO	Not far from
REVISAL	Bit of editing
SGTS	Cpls.' superiors
LEGO	Big name in construction
ELOI	Morlocks' prey in "The Time Machine"
REF	One making calls
PPCS	Powerful handheld electronic devices
PKNIFE	Handy-dandy tool
PIECES	Shares
CAPERS	Tricks
EIGHTBALL	Game played on a 49-Down
BLEATS	Farm cries
AIRP	Avalanche victim's salvation
ASEVER	Complimentary closing
KIA	Spectra maker
EMIT	Radiate
ELI	Roth who directed the 2005 horror flick "Hostel"
ALTOIDS	Popular candy since the 1780's
DEANE	Silas ___, emissary of the Continental Congress to France
NEPALI	Like King Gyanendra
ARNO	River to the Ligurian Sea
SABE	"Quién ___?"
AFL	Half of a noted 1955 merger: Abbr.
ISEENOW	"Aha"
NEVA	River that flows by the Hermitage
OTIC	Suffix with neur-
WONK	Overstudious sort
ICERINK	Place to see a camel
KNOT	Rope expert's favorite radio station?
FLAP	Scandal
POPE	Poet who wrote "To err is human …"
HAVETO	Must
FERN	Spore producer
UNCLETOM	Aunt Chloe's husband, in literature
COIFFURE	Do
MINDS	Smart set?
NEVIN	Ethelbert who composed "Mighty Lak' a Rose"
ESSO	Classic brand whose symbol is a tiger
TOO	"___ bad"
SPICERACK	Kitchen fixture
CSA	Org. for Va., but not Md.
GETIT	"Understand?"
GTO	Sporty Pontiac
TOECAP	Kicker's aid
ENS	O's predecessors
POINTB	Simple itinerary destination
PICKP	"Fingersmith"
ONONE	With 123-Across, pleading, perhaps
IDLER	Lazybones
NODES	Lymphatic system parts
FOOD	Interstate sign
OVATE	Like quaking aspen leaves
DETER	Stop
DATSUNS	Old 280Z's and 280ZX's
THETA	Angle denoter, in math
SALON	Permanent site?
UNLIT	Pitch-black
NOELS	Seasonal music
SIDEP	Start of 67-Across or end of 72-Across, literally
INDOOR	Covered
FEVERS	Temperatures
REDS	Some roulette bets
HANOI	Capital that's the home of Lenin Park
COLD	Distant
EDUCATE	Lecture
DEE	Low mark
YELLED	Blasted, with "at"
YEP	Rural affirmative
KNEE	See 103-Down
AERATED	Exposed to oxygen
ETOILE	Object in le ciel
PERS	Subtle thieves
KEEPERS	Big fish, say
PANTSP	Lint collector?
