MANMONTHS	Industrial time units
MASHA	"Three Sisters" sister
ATEAM	First string
NETWT	Packers' stat.
MASK	It may be right in front of your eyes
OWOE	Shakespearean lament
NAN	Indian restaurant serving
TYE	Mast-to-tackle rope on a ship
HASASAY	Is part of the decision-making process
STOLES	Ostentatious accessories
MADAM	House manager
MANNA	Fall cuisine?
AMPED	Hyped up
DEADAHEAD	Coming right up
ABC	First string?
MAE	___ Axton, co-composer of "Heartbreak Hotel"
ATEAWAYAT	Really bugged
AMEBA	Slide presentation?
SETSONESOWNPACE	Breaks from the pack, say
WILT	Flag
HAWKE	"Snow Falling on Cedars" star, 1999
ALINED	Straight
AMT	Withdrawal fig.
ANSELADAMS	Shooter who co-created the zone system
ALTE	Old Hamburger?
NERD	One who might celebrate Pi Day
MISTI	El ___ (Peruvian volcano)
SEEST	Biblical spot?
ATLEAST	Not under
APSE	Place for some relics
TESS	Jamie Lee Curtis's "Freaky Friday" role
HIE	Bolt
PUPPETRY	Art of manipulation?
PCLAB	Where many students click
URANO	Heavens: Prefix
POKERFACE	You'll get nothing out of a good one
REESE	Candy man
RAVI	First name in raga performance
EVEN	Tie up
CROSSED	Like some arms and legs
CRAVATS	Some neckwear
CLEO	Fatally poisoned royal, for short
ROSY	Looking up
LAKES	They have large basins
ILOVEDIT	Rave review
IMBRUES	Stains
ANE	Game show purchase
COMESIN	Isn't blocked, as a signal
CARY	Raleigh suburb
OLEOLE	Reinforced ring support?
BORSTALBOY	1970 Tony winner for Best Play
SASHA	Mitchell of "Step by Step"
TIKES	Little ___ (big toy company)
ATL	P.R. is found in it
APHIS	Orchard pest
TRENT	It flows through Gainsborough
LARDS	Pads
FAIRER	More susceptible to burning
CAPRA	"Meet John Doe" director, 1941
CONY	Rabbit fur
ATRI	Longfellow's bell town
GOASKYOURMOTHER	Bit of parental diversion
GNP	It has a domestic counterpart: Abbr.
OIL	Joint application
RMS	Suite composition: Abbr.
MOA	Bygone bird
NICHE	Calling
LEMONRIND	Strip in a bar
PLEAS	They're entered legally
ESSAYISTS	Many bloggers
