SPEEDO	Small suit
SHOWMAN	Troupe leader
PINHOLE	Camera obscura feature
ENCOMIA	Laudations
ETAL	Bibliographical abbr.
DOLLARTREE	National chain of everything-costs-the-same stores
ONLYCHILD	Eloise of Kay Thompson books, e.g.
SAPSAGO	Cheese with a greenish tint
STROVE	Made an effort
ARISE	Become evident
PEPS	Enlivens, with "up"
SALEPRICE	Figure seen in a store window
AMATEUR	Pan American Games participant
GENTEEL	Refined
OREILLY	Author of the 2006 best seller "Culture Warrior"
HINTON	"The Outsiders" author
STREAMER	Band seen at parties
STRIDE	Big step
ONCALL	Available if needed
TRIPLANE	Aircraft for the Red Baron
WHOLLY	Without reservation
ROSSETTI	"The Blessed Damozel" poet
MOM	"Mr. ___," 1983 comedy
ACTIVE	Military classification
TODO	Disturbance
PEEL	Result of a day at the beach?
ALI	"Infidel" author Ayaan Hirsi ___
RHODE	___ Island
GRUEL	Object of Oliver Twist's request for "more"
GARDENHOSE	Typically green tube
NEAPTIDE	Semimonthly ocean occurrence
PARTYFOUL	Gaffe at a social gathering, in modern lingo
FAIRLY	Somewhat
FANLETTER	Often-unanswered missive
ARLO	"___ and Janis" (comic strip)
MARC	Linguist Okrand who created the Klingon language
MOLL	Tough's partner
HATRED	It's "heavier freight for the shipper than it is for the consignee": Augustus Thomas
HITHOME	Seemed particularly relevant
ARCADIA	Pan's realm
TABLING	Putting aside temporarily
RONDELET	Poem whose first, third and seventh lines are identical
RIBEYE	Hearty entree
LESOTHO	Country of two million surrounded by a single other country
EXHALED	Let the air out, say
TEETERS	Betrays unsteadiness
IRATE	Ready to explode
FILLE	Garçon's counterpart
FELLAS	Guys
EXE	Application file extension
TCBY	Big seller of smoothies
VEBLEN	Economist who wrote "The Theory of the Leisure Class"
VISIT	See
SHE	___-Hulk (Marvel Comics character)
HALFMILE	Goshen raceway's length
MUTE	Universal remote button
THROAT	It's cleared for a debriefing
ROTS	Breaks down
ODIOUSLY	In a despicable way
TOOTLE	Play a flute
MINUTIAE	Details
ESTHER	Book before Job
EAGLETS	Future hunters
RESODS	Does a landscaper's job
