KICKSTART	Energize
KCAR	Plymouth Reliant, for one
ILLE	River at Rennes
CELS	Frames a collector might frame
KOCH	"Citizen ___" (1992 autobiography)
SPOILED	Having turned
TAMPER	Monkey
ATEST	Historically significant trial
RRR	Elementary school trio?
TAS	Univ. helpers
SPLAT	Food fight noise
SPEEDOS	Small trunks
PERFECTTEN	Achievement by 30-Down that had been previously unattained
LANI	Legal scholar Guinier
ABIE	Rose's beau on Broadway
TOES	Web sites?
CLEOPATRA	"Tom Jones" beat it for Best Picture of 1963
PEABO	Singer Bryson
ALLCOMERS	Cocky competitors might take them on
ERNIE	Star Steeler Stautner
RESHIPS	Sends off again
DEFIES	Beards
DIPIN	Take a bit of one's savings, say
LETSLIDE	Not do anything about
SMELTER	Place of refinement
LTGOV	State second: Abbr.
SCORER	Basketmaker?
SHERM	Col. Potter on "M*A*S*H," to pals
CEDED	Turned over
OREAD	Mountain nymph
ROLLERBALL	Title sport in a 1975 James Caan film
MTPOCONO	Touristy resort borough SE of Scranton, Pa.
ORARE	"Laborare est ___" ("to work is to pray")
NADIA	Big name at the 1976 Olympics
ORSER	1987 world figure skating champion
HEROD	Christmas story bad guy
REGISTRAR	Record holder
RAYED	Having spokes
EDEL	Writer of a five-volume Henry James biography
SALON	Curling setting
STRAP	Leave in difficulty
TADS	Young 'uns
REALITYTV	Much unscripted fare
IGOOFED	Acknowledgment on a slip
AERIE	High hideaway
ASEPTIC	Sterile
MDDEGREE	Acquisition before becoming a resident
ASNEAR	Comparatively close
AGASSI	1994 U.S. Open winner
ROADRAGE	Fits behind the wheel?
ACRID	Sharp
SHEBOP	1984 Cyndi Lauper hit
SPEW	Shoot out
HIFI	Record holder
ELIE	Designer Saab
CAPECOD	House style
ETNA	View from Catania
CAPT	Hands are under one: Abbr.
OKIE	Steinbeck figure
DEED	Title
PILAF	Middle Eastern dish
FIRSTTAKE	Recording session starter
FRI	Many workers look forward to it: Abbr.
IAN	Golfer Woosnam
EFILE	Stampless I.R.S. submission
RAISINPIE	Sultana-stuffed treat
WIELD	Exercise
INDICATED	Showed
