YEGG	Skilled felon
YAW	It puts you off course
ERITREA	Asmara is its capital
GELATIN	Form of dynamite
GALBA	Nero's successor
WHOA	"Hold on there!"
WHOOP	Victor's reaction
HOW	What students want to know
OPENEYED	Watchful
AIRACE	Star in the sky?
CONS	Hustles
COCOA	Shade darker than chestnut
OPA	___-Locka, Fla.
NARCISSI	Garden perennials
SHOLOM	Yiddish writer Aleichem
TURBOS	Some engines
TASS	Provider for Pravda
UNIS	Les États-___
RON	Former Congressman Dellums
BIGFOOT	It's hard to photograph
ONELOVE	Classic Bob Marley song
STROKED	Rowed
AREA	Sphere
HOPI	Snake dancers
OPAH	Fish with scarlet fins
ANOINT	Mark for greatness
WILLPOWER	He's got clout
POP	Short report
CAROLSINGER	She sews at home
LANAS	Turner and others
TABOO	Proscribed
NATO	Kind of commander
TIREDOUT	Ran ragged
CLASS	Air traveler's choice
FLO	The great Ziegfeld
ARTAPPRECIATION	He'll thank you kindly
APT	Well-related
ROLEX	Something flexible to wear
TAURO	Bull: Prefix
GOOK	Too heavy makeup
GRACEPERIOD	She comes to a full stop
PEI	Prov. on Atlantic Time
OYER	Open court hearing
ASMAD	Equally irate
DEREK	Yankee Jeter
ROVE	Range
TANGIBLE	Actual
GENETHERAPY	He's getting a doctor's help
IDBE	"Why, ___ delighted!"
BROS	Boys in the 'hood
EMUS	Australian crop pests
MOLLYBOLT	She's holding things down
SEDATED	Under, in a way
DEB	Cotillion V.I.P.
EDRED	Conqueror of Northumberland, 954
DORIS	Author Lessing
STOLE	Operagoer's wear, maybe
REC	VCR button
COINBOX	Laundromat machine feature
CASTA	___ spell on
OGLED	Showed obvious interest in
IRISH	Like some whiskey
POLO	Shirt style
PATE	Crown
THEBELLS	Poe poem
HOT	Much sought-after
LORRE	Actor born Laszlo Loewenstein
LOGON	Prepare to surf?
SHORT	Missing money
AGREES	Matches
HAUL	Spoils
HAVOC	Devastation
BOOK	Opera libretto
BETA	Second in a series
POOH	"Oh, that's silly"
SLIT	Kind of skirt
PATTYMELT	She's a softy
POT	Put a lid on it
MIDSHIPS	Centrally, at sea
ERGO	Start of a conclusion
TESH	New Age composer John
MOVE	Propose at a meeting
MEWED	Made kit calls
BITE	Orthodontist's concern
TERROR	Hardly a little angel
TATA	"Ciao"
ETON	007's school
ADHERETO	Uphold
ROZ	Cartoonist Chast
CODA	Musical epilogue
CLOAK	Mask
PATIENT	Long-suffering
PROAM	Pebble Beach event
ROW	Start of a popular round song
CALLS	Dinnertime annoyances
ARMCHAIR	Quarterbacking locale?
ARTOO	"Star Wars" figure, informally
ATNOTIME	Never ever
SLEAZES	Unsavory types
SHAMPOO	Suds maker
LATHERS	Suds
ESTONIA	Independent land since 1991
SORER	Not so pleased
ROTH	"Just a Gigolo" singer, 1985
TOANDFRO	The way ferries go
FLORINS	Dutch money
RERATES	Alters an assessment
OXY	Big oil company, for short
HASP	When pinned, it's a lock
DOGMA	Church tenets
GOTCHA	"You're mine!"
IONA	Island with a 13th-century cathedral
ORELSE	Common threat
LEX	Big Apple subway line, with "the"
ATTY	Ally McBeal, e.g.: Abbr.
ROCKYPROMONTORY	He's got a craggy face
YIELD	Harvest
OHYES	"That's for sure"
NEW	Not used
TAHOE	Deep border lake
MHO	Measure of conductance
TEETH	Places to drill
TYNE	Newcastle's place
EATS	Emulates Pac-Man
ISET	"You go not till ___ you up a glass": Hamlet
HEARA	"Do I ___ second?"
PENNYARCADE	She plays her little game
NEG	Master of photog.
DLI	Year in Vigilius's papacy
LILYWHITE	She has a ghostly pallor
LEG	Table part
ELO	"Rock 'n' Roll Is King" band
ORIENT	Early source of spices, with "the"
HILL	Challenge, metaphorically
SMEE	Hoskins role in "Hook"
ONEL	Scott Turow title
OSAGES	Relatives of the Omaha
ARID	Colorless, as writing
EEGS	Brain tests, briefly
ESSO	Renamed oil company
