SPOKE	Did a dog trick
SLIGHT	Cold-shoulder
PENROD	Booth Tarkington title tween
OCTETS	Largish combos
KARAT	Unit of purity
EROTICA	Racy reading
SKEE	___-Ball (game on an incline)
SPCA	Pet welfare org.
KOOK	Wack job
EUREKA	"That's it!"
ERASERS	Blackboard accessories
ABBA	"Mamma Mia" quartet
AKIN	Closely related
BASILICA	St. Peter's, e.g.
BENNIFER	Affleck/Lopez as a tabloid twosome
ALOEVERA	Important plant in alternative medicine
LECAR	Renault 5, in North America
POUR	Rain cats and dogs
KAEL	Film critic Pauline
INTRO	First few bars
CORA	Mrs. Dithers in the comics
ISNO	"This ___ joke!"
GREATLAKES	America's so-called Third Coast
LEAR	Father of Goneril
NINE	Clementine's shoe size
HOTTIE	Playboy or Playgirl-caliber model
KEY	Item with a magnetic strip, nowadays
YSL	Fashion inits.
LIV	Tyler of "The Incredible Hulk"
TDS	What Hail Mary passes rarely result in, briefly
CAESARSWIFE	One who must be above suspicion, in a saying
EAT	Mother's cry at a dinner table
SHOJI	Japanese sliding screen
WIPE	Disposable cleaning aid
SARAH	Ex-governor Palin
SINS	Lust and envy, for two
SLICER	Hero maker's aid
MAGI	Crèche trio
MAGNATES	Ones in high places
ADHESIVE	Post-it component
GOODIDEA	Brainstorming result, perhaps
TON	Whole bunch
NUT	Wack job
PARA	Prefix with normal
ADONIS	Hunky sort
ITO	"Who am ___ say?"
SWAPPED	Out of order, in a way
JUDGE	One who tries
DENY	Refuse to grant
GROWSUP	Matures
GHOSTWRITER	Many an autobiographer's need
RKELLY	Singer with the 1994 #1 hit "Bump N' Grind"
STU	Early Beatle Sutcliffe
SPIRAL	Form of a well-thrown pigskin
TITTLE	Y. A. known for well-thrown pigskins
UNEASY	On edge
NED	Original Luddite ___ Ludd
OAK	Oklahoma's ___ Tree National golf course
NOSPIN	Like Bill O'Reilly's "zone" on Fox News
SHERA	Mattel's Princess of Power
ASIS	Clearance rack words
SYNS	Roget offerings: Abbr.
PERRYWHITE	Character known for exclaiming the first words of 20-, 28- and 46-Across
RILE	Anger
READ	Interpret
TIDY	Like certain sums
PLIE	Ballet bend
SERTA	Perfect Sleeper maker
EVEN	Smooth
ELLA	"___ Enchanted" (Anne Hathaway movie)
URALS	Range extending to the Arctic Ocean
SEAS	Huge quantities
DYED	Gray no more, say
PALEY	Longtime CBS boss William
