MOAT	Castle protection
MESA	Phoenix suburb
OLEG	Designer Cassini
ALAI	Jai ___
TAMARACK	American larch
FOBS	Watch chains
FORTAS	Former Supreme Court Justice Abe
OREAD	Mountain nymph
BEAMS	Rays
SOLO	Alone
WHALE	Moby-Dick, for one
WAGGLE	Move rapidly from side to side
HELMET	Footballer's protection
AGUE	Chills
LIEN	Legal claim
ESS	Test-track curve
ELLA	Tuneful Fitzgerald
OREO	Nabisco cookie
AEGIS	Sponsorship
SEAM	Coal stratum
REAL	True
GLUES	Affixes in a scrapbook, say
AGIANTAMONGMEN	Willie Mays at the Y?
NOLTE	Nick of "The Prince of Tides"
NOONE	Opposite of everybody
ROADS	Traffic arteries
OLE	Corrida cry
MEDALS	Olympic awards
MEYER	Notorious Lansky
ERATO	Muse with a lyre
DENEB	Star in Cygnus
POETICS	Study of verse
PAGE	Leaf
ICIER	Less welcoming
CUTIE	___ pie (sweetheart)
STYLO	French pen
ERECT	Standing
ROAN	Horse color
RIIS	Reformer Jacob
ONT	It's west of Que.
CUT	Slice
YANKEEINGENUITY	Crossword by Joe DiMaggio, e.g.?
ENTRE	___ nous (confidentially)
NOTER	Citer
UNEDITED	Like a first draft
ETE	Somme summer
NITE	TV's Nick at ___
ONEIL	NBC newsman Roger
ROBERTS	She played the pretty woman in "Pretty Woman"
EUCLID	Geometer of 300 B.C.
RAISES	Workers' rewards
STEREO	Not mono
SKATES	Ice hockey equipment
UAR	Former Mideast inits.
ASKED	Was inquisitive
ATBAY	Cornered
SMILE	Photog's request
ANCIENTMARINER	Ken Griffey Jr. at 100?
AIDE	Helper
NADA	Zippo
NOSE	Sniffer
NUDE	Classic art subject
EBAN	Israel's Abba
RAMS	Butts
DIALS	Disappearing phone features
DEB	Society girl
OBIT	Final notice
TUBA	Part of a marching band
EDDIE	Wally's pal in "Leave It to Beaver"
SALE	Post-Christmas event
EDAM	Dutch cheese
BEADS	Hippie attire
EYES	Ogles
DENS	Lairs
