OPTIC	Fiber-___ cable
OATES	Hall's partner in pop
PLANE	Make smooth
TULSA	Arkansas River city
ILL	"___ bite"
CASPIAN	Sea fed by the Volga
SCALA	Milan's La ___
SPOT	Dick and Jane's dog
CARS	Dodgem units
ALI	Boxer Laila
LEE	Ann of the Shakers
ASSORT	Place into cubbyholes
ORB	Sun or moon, to bards
ONUS	Burden of proof
RIFE	In widespread use
BLOT	Bad mark on one's reputation
ALULA	"Be-Bop-___" (Gene Vincent hit)
PALES	Is visibly frightened
NIL	Zilch
TALLSTORIES	They're hard to believe
TERR	The U.S. Virgin Is., e.g.
UFO	Eerie sighting, for short
ENS	PT boat crewman: Abbr.
PETS	Adoptees from shelters
ONSET	Initial stage
NEONLAMP	Source of orange-red light
SEAAIR	Beach atmosphere
ADAMANTS	Unbreakable stones of legend
DARE	Have the nerve
DISUSE	Cause of atrophy
ACTS	Takes steps
DARKVICTORY	1939 Bette Davis drama
KRONOR	Swedish currency
VENOM	Black mamba's secretion
REAL	Flesh-and-blood
YAKS	Chews the fat
ANNAN	Former U.N. chief Kofi ___
ALP	Bernese peak
NOAH	Wordsmith Webster
NAPA	California wine valley
REST	Take five
NEAT	Free of clutter
TEE	___ time (course slot)
LOAM	Clayey soil
BONUS	Paycheck extra
BASE	Barracks locale
LAKE	Word before Charles or George
PAPA	___ John's (Domino's competitor)
ANOS	Years, in the Yucatán
FALSE	Not loyal
FULLEST	Most jam-packed
HANDSOMESUM	Big pile of cash
DISMAY	Consternation
SALE	Bargain hunter's event
TIER	Top-___ (best)
ALPHAS	Series beginners
HADON	Sported
ABOVE	Partner of beyond
SELES	Monica with nine Grand Slam tournament wins
PRESS	Garlic-crushing tool
PLOP	Alka-Seltzer-into-water sound
ROAR	Have a hearty laugh
EURO	Its symbol looks like an equal sign through a C
FELL	Tumbled
FIAT	Autostrada auto
ENNA	Sicilian city
ABE	Bearded pres.
LOU	CNN's Dobbs
MATINEEIDOL	Figure described by the first words of 17-, 28- and 45-Across
AVE	N.Y.C.'s Park or Madison
TIN	Pewter component
ITO	"Who am ___ say?"
OAR	Galley need
AVIAN	Bird-related
STOVE	Potbelly ___
PRO	Old hand
YENTA	Gossipy sort
TONES	Vocal qualities
