PASSEDUP	Didn't take advantage of
PACMAN	Game featuring Blinky, Pinky, Inky and Clyde
ARLENE	Photographer/children's author Alda
STERNO	Jelly seen on buffet tables
SURGE	Kind of protector
ERIE	Pennsylvania's Flagship City
DOC	Vet, e.g.
UTAHAGEN	Stage actress who wrote "Respect for Acting"
POLARIS	Pilot light?
STUPID	Muscleheaded
SCORN	Treat badly
TALL	Albee's "Three ___ Women"
UNLIMITED	Vast
PIANOKEY	One that gets depressed during recitals
INREPOSE	Awaiting burial
DISSENTS	Files a minority opinion
ARTUROTOSCANINI	He conducted the premiere performances of "Pagliacci" and "La Bohème"
SCION	Boxy Toyota product
CLERICALCOLLARS	Bands of holy men
MERGE	Become one
HAIRLINES	Newspaper column separators
ANNE	___ Elliot, heroine of Jane Austen's "Persuasion"
CARON	Star of "Gigi" and "Lili"
COMAS	Some emergency cases may be found in them
MOPE	Put on an unhappy face
NEO	Revival movement's leader?
FOGIN	Strand at the airport, maybe
FAGEN	Steely Dan singer Donald
NIKON	Maker of Coolpix cameras
NUDES	Some Degas paintings
NAMES	Stray animals don't have them
NINOTCHKA	1939 film taglined "Garbo laughs"
CUTEST	___ Couple (yearbook voting category)
CAMUS	First African-born Literature Nobelist
MADIGAN	"Field of Dreams" actress Amy
MCENTIRE	"Is There Life Out There" singer
ALGERNON	Titular mouse in a classic Daniel Keyes novel
DOGWATCH	1600 to 1800, on a boat
SADEYES	1979 #1 hit for Robert John
SOCKEROO	Big hit
CLONES	More of the same
DOMED	Like St. Basil's
DOLLARS	Number to the left of a decimal point, maybe
EGGON	Incite
LOCUS	Center
LUBED	Unlikely to rattle or squeak, say
MUD	Yielding ground
MINUTE	Trifling
ULTRAS	Political extremists
DESERT	Roughly a third of the earth's land surface
NEWT	Young cowboy in "Lonesome Dove"
HULKS	Ships on the seafloor
HANNO	Carthaginian statesman who opposed war with Rome
TILE	Roofing choice
TUTSI	Rwandan people
TRACTABLE	Compliant
TEAL	Blue shade
PUNTS	Gives up responsibility
PULP	Great literature's opposite
INTHENEARFUTURE	Sometime soon
FLU	Possible work force reducer
ROCKANDROLLSTAR	One with a guitar and shades, stereotypically
ENHALO	Bathe in a glow
SOUPIEST	Most mawkish
