MARE	Moon sight
MESS	Chaos
ARTICLEIII	Part of the Constitution covering judicial powers
ROADRUNNER	Cartoon bird
ESTEEMED	Dear
INASMUCHAS	Because
IMPELS	Drives
NOLTE	"Affliction" star, 1998
ALAS	"Oh, my!"
STY	Pen that won't write
MESSAGES	Graffiti, e.g.
UNHINGE	Rattle
CLANCY	Best-selling author of "Debt of Honor"
HAVE	Rich one
AVOW	Swear
SACS	Black Hawk was their leader
EROS	Son of Chaos
MOLTENLAVA	Hot roll?
STAT	Household gauge, informally
PLAYSHAVOC	Creates chaos
SIDEBETS	Craps action
BOPS	Hard knocks
SINEWS	Source of strength
CREOLE	Like jambalaya
BANC	French bench
BORES	Makes holes
LUMPS	Mattress problems
DOGGYBAG	Something you have filled when full
DIRGE	Sad song
BREAKLOOSE	Go wild
ATONESFEET	In a disciple's position
GELT	Moolah
GENES	Heredity, informally
GRUB	Eats
SIREE	Yes or no follower
SOAKS	Heavy drinkers
RTE	Abbr. usually followed by a number
RIND	Coating
SORES	Tender spots
SLIPINTO	Don
GEOL	One of the phys. sciences
GROWSDIM	Fades away
UIE	Turnabout, for short
FLAGS	Penalty markers
FLORIST	One who keeps mum?
GRANT	Researcher's quest
GLAD	Not a bit sorry
BIRDLIKE	Peckish?
DOALLS	Handymen
BLOKE	Chap
BRANDY	Part of a B and B
OOPS	Apology preceder
CRAWLS	Is rife (with)
CELEB	People person
SAFARI	A giraffe may be seen on it
SAWS	Toothy ones
ABEE	"As brisk as ___ in conversation": Samuel Johnson
FELT	Knew somehow
LEADSOFF	Goes first
LOGE	Seating area
FREE	Without a date
ABELINCOLN	Union man?
CAR	Jam ingredient
DOER	Active sort
WELLSTAGED	Top-notch, as productions go
ISEE	"Oh"
SETSTOREBY	Value
METE	Allocate, with "out"
