STUART	Portraitist of George Washington
SPOTTER	Weightlifter's helper
TAKETEA	Have a break at 4:00, say
USO	Troop troupe: Abbr.
ATOB	Basic travel path
RONA	First name in gossip
TROJARMY	Paris was part of it
ROSIE	Robot maid on "The Jetsons"
RELOADS	Equips with new clips
ORIBI	Small African antelope
SAFET	It's darn likely
ISAY	"My, my, old chap!"
EEN	Dusk, to Donne
OMEGA	Sorority chapter
ORGY	Unlikely event for puritans
MOM	MADD member
ELECTRO	Foe of Spider-Man
GENOMIC	Like some modern maps
ARTBOOK	Coffee table item
PASTOR	Leader of a flock
ERASE	Do away with
CAROLER	Spreader of holiday cheer
CAMOS	Mustang rivals
AUTRY	Gene who sang "Back in the Saddle Again"
YOKOONO	Singer who said "At least I had that, one guy understood me"
YEAST	Cause of many uprisings
LIFAN	Possible punishment for steroid use
AUGMENT	Enhance
ETE	When Cannes heats up
BAJ	Native tongue of R&B singer Rihanna
OBEY	Bow to
SMTY	Wise guy
SOTS	Members of the bar?
COB	Ear part
ATTS	"Esq." titleholders
SIDAR	Biker's add-on
AWAIT	Keep an eye out for
WEI	Early Chinese dynasty
POOR	Meager
PUNT	Admit defeat, in a way
ATMO	Prefix with sphere
ATAOFIT	Lucratively
SEEINGRED	Fuming
NODEAR	Polite disclaimer
GMA	ABC a.m. show, briefly
GUTSY	Daring
GOINGALLIN	Last resort in poker, often
TRIO	Alvin and the Chipmunks, e.g.
TRADOMMISSIONS	Experts at exports
STANDSFIRM	Doesn't waver
ION	Euripides drama
RAOCK	Genre explored by Run-D.M.C. and Aerosmith
RTE	G.P.S. suggestion
ADAY	Diurnally
TOIT	"Hop ___!"
GATO	Mexican mouse chaser
GENIE	Bottle opener's surprise
ANTES	Vegas openings?
CADRE	Inner circle
COMBS	Untangles, in a way
ATARI	Cyberball maker
DONAN	Pop singer who appeared in the movie "Sgt. Pepper's Lonely Hearts Club Band"
SWANN	Proust title character
STATE	It's called in a political convention roll call
WIRE	Undercover device
BENEFITS	Job interview topic
BACKS	Campaigns for
ITMBE	"Quite possibly"
TOAIR	Surface-___
SONGS	Singles and jingles
OTO	Sioux tribe member
AUSTIN	State capital on the Colorado River
UBOAT	Sub with sauerkraut?
SOAVE	White wine from Verona
GIANT	Economy-size
INIT	W., e.g.: Abbr.
ITOO	Langston Hughes poem
MANERBOARD	Cry at sea
EYEDOOR	Professional with many contacts?
ANCIENTMAN	Cancún resident, once
NOBLES	Lords and ladies
BRAY	Farm call
OATES	Hall's partner in pop
LIKESO	"This is how it's done"
BIG	Worth mentioning
SINEWAVE	Pattern for light or sound
WAS	Is past?
FELTS	Soft hat materials
EKE	Scrape (out)
BAERS	Actors Max and Max Jr.
ADJCT	Like some professors
DATE	See
NIKI	___ Taylor, co-host of "Make Me a Supermodel"
NDAK	Sask. neighbor
MOLD	It appears when things go bad
MINTJEPS	Drinks in frosted glasses
ONE	Married
DECOS	Boils down
DISCMAN	Hit Sony product introduced in 1984
EMULATE	Model after
CHEESES	American, Swiss, etc.
ADRENALINEJKIE	Thrill seeker
ARCH	Design feature of many a viaduct
ABETTOR	Lookout, maybe
LOL	"OMG, that's sooo funny!"
KARAOKE	Kind of bar
INORDER	Squared away
ESTEE	First name in cosmetics
IMHO	"If you ask me," online
ABRAM	The "A" of James A. Garfield
AHORA	Now, in Nogales
BASAY	Wages, before overtime
BONESCANS	Some exams for joint pain sufferers
SUER	Litigant
HACK	Symptom of catarrh
DWELT	Focused (on)
DRAHT	Beer serving in a pub
WAHOO	"Yippee!"
TROT	Brisk pace
CLE	Cavs, on a scoreboard
JOSH	Nativity figure
JAWS	Jabbers
ARAT	"Was it ___ I saw?" (classic palindrome)
ARCO	U.S. gas chain
JES	Samuel L. Jackson's character in "Pulp Fiction"
EPEE	Triple-edged sword
SIRE	Part of a horse's genealogy
ARE	Were present?
MASCARA	It might run in the rain
CAT	Cool ___
FRAHT	Filled (with)
FAM	Genealogical grp.
EPISODE	Part of a serial
SUD	S, on a French compass
ATEAWAY	Eroded
ACHOO	It's usually said with the eyes closed
PERUKE	Wig
NESTS	Egg holders
MOTOR	Kind of skill
SEEDER	Farm machine
