MIMIC	Mynah bird, e.g.
MEMO	Note from the boss
IVAN	"Terrible" czar
MIKE	What a D.J. speaks into
ITEM	Tabloids twosome
CAROMED	Ricocheted, as a cue ball
MUST	Has to
MOREL	Tasty mushroom
USE	Be hooked on
SHAG	Thick carpet
TAKESOUT	Brings on a date
SHIP	Send by FedEx or UPS
SPAIN	Onetime colonial power in the Philippines
HITTERMISS	One-third of a strikeout?
ISTO	"That's all there ___ it!"
PAUL	Left-handed Beatle
EVITA	Mrs. Perón
OSHA	Worker welfare grp.
PISA	Noted tower site
MAKERBREAK	Seventh day, in the Bible?
BRER	Term of address used by Uncle Remus
ATTU	Westernmost Aleutian
ONEMORE	"I'll have another"
GERITOL	"Tired blood" tonic
RATS	Slum vermin
MELT	Cheesy sandwich
TREADON	Trample underfoot
SANE	Having all one's marbles
FIBBER	Truth stretcher
FALCO	Edie of "The Sopranos"
ILIAD	Homeric epic
BOOMERBUST	Statue of a post-W.W. II baby?
BUN	Sloppy joe holder
RIOT	Go hog wild
INNS	Bed-and-breakfasts
RHO	P, in Greece
HARSH	Unduly severe
ONKEY	Like a good singer
ALOUD	One way to think or read
GENUS	Homo vis-à-vis humans
GLUM	Wearing a long face
MAN	Homo sapiens
LION	"The Wizard of Oz" coward
SLANT	What a roof is usually built on
STATELAW	Result of a governor's signing
DIRK	Dagger
DOO	"Inka Dinka ___"
CAM	Bit of Web video gear
STUDS	Small earrings
SCOT	Loch Lomond local
POSSE	A sheriff may round one up
PLASMAS	Blood bank supplies
ODE	Horatian creation
CAMO	Hunter's garb, for short
SLOSHY	Like a mud puddle
SPUR	Cowboy boot feature
ROOT	Cheer (for)
OATHS	Solemn vows
NAPA	Vintners' valley
AMEND	Make changes in
REBATES	Cash-back deals
RAGA	Sitar music
EBON	Black, to bards
SOLE	Dover ___
MUSTARD	Condiment at Nathan's
TOBY	Man-shaped mug
ANON	In a bit, in poems
REDO	Give a makeover
DYED	Did some batiking
ABUT	Touch on
LOVERMONEY	$10 bill enclosed in a Valentine card?
VAL	Kilmer of film
GOSH	"Jeepers!"
ALAN	Pioneering D.J. Freed
ABODE	Home, sweet home
ANTS	Picnic intruders
WELD	Join with a blowtorch
SYNOD	Religious council
