OLIVER	*Stone in Hollywood
OMARR	Astrologer Sydney
LIVEUP	Meet, as expectations, with "to"
INANER	Goofier
VOLT	Battery unit
ESO	That, in Tijuana
RON	Friend of Harry and Hermione
OKLAHOMA	*Home for Will Rogers and Garth Brooks
OSLO	Capital near the 60th parallel
KPAX	2001 film set in a mental institution
LAVED	Washed
AMASS	Collect
HAL	Anthropomorphic cinema computer
OLIN	Lena of "Chocolat"
MOES	Place to which Bart Simpson makes prank calls
ATRA	Gillette brand
MINOSO	1950s All-Star outfielder Minnie
SPAMALOT	*What some unscrupulous e-businesses do?
AVALON	Arthurian paradise
LAVALIER	Bejeweled pendant
RENT	*Torn
COXES	Regatta crew leaders
CARAVAN	Dodge on the road
NSA	Govt. code-breaking group
RUE	Wish to take back
TRA	Song syllable
TVA	New Deal program, for short
REBEC	Renaissance instrument
DSC	U.S. mil. medal
CHALET	Home in the Alps
PROVERBS	Whence the line "A soft answer turneth away wrath"
OCULAR	Eyepiece
BRINE	Curer of feta cheese
SETDOWN	Lay
HAIR	*Extremely narrow winning margin
ANY	Even one
INN	Wayfarer's stop
REX	King's title
CABARET	*Kind of club
TAINT	Sully
ANNE	Mother of Queen Elizabeth I
ECRU	Lingerie shade
EPA	Clean Air Act org.
CHI	The Bears, on scoreboards
RID	Completely free
EVITA	*A Perón
LYNX	Mercury model
PHIL	TV Dr. of note
CANDIDE	*Student of Dr. Pangloss
DAS	Some "Law & Order" figs.
AIDA	*Lover of Radames
NEONATAL	Like some nursery care
ANADEM	Ancient garland
LAMAZE	Kind of class
RSA	Cape Town's country: Abbr.
SCRUB	Cancel
ALISO	___ Viejo (California city near Laguna Beach)
WTS	Oz. and kg.
NAT	Washington ballplayer, briefly
TENET	Creed element
DEN	Study
DOCS	Medics
EVAH	Cole Porter's "Well, Did You ___?"
NERO	"Quo Vadis" role
CLOWN	Class ___
ODEA	Old music halls
WELT	Result of a whipping
FAME	*Renown
FRIS	End-of-wk. times
OVERRIDE	Nullify
ROW	Big fight
JORDAN	Air ___
JFK	1991 film directed by 1-Across
ORI	"Either he goes ___ go!"
CAROUSEL	*Site of much horsing around?
FRIEZE	Architectural decoration
SHOWBOAT	*Perform ostentatiously
KISMET	*Destiny
