SARA	Author Paretsky
SCH	Acad., e.g.
AHAB	1956 Peck role
RIFE	Abundant
ACTFIVE	When Macbeth meets his fate
ABBA	"Mamma Mia!" group
AMTRAK	Acela operator
BORE	Yawner
BLAHS	Malaise, with "the"
ADMAN	Sloganeer of sorts
STUPE	Dumb bunny
SANDRA	___ Day O'Connor
TRA	Song syllable
UNDERSTAND	Like pat or still, reading down
PAIR	Ice dancing team
EZRA	Book before Nehemiah
CHIC	Radical ___
MOLD	Foundry form
ARNAZ	Early sitcom star
HAFT	Knife handle
TRAM	Way around London, once
NADIR	Rock bottom
BEFOREHAND	Like second or farm
ORONO	Maine college town
NOWIS	"___ not the time!"
ERA	Stat for Clemens
IRA	Portfolio part, in brief
SNORER	Dormitory annoyance
ERE	"... ___ he drove out of sight"
PROVOKE	Incite to anger
PROWL	Search for prey
RADIO	Contact, in a way
OVERWEIGHT	Like paper or light, reading down
EDIT	Trim to fit
WARSAW	Vistula River city
ANDIE	Actress MacDowell
WAVER	Be uncertain
RAVEN	Talking bird of poetry
DEBI	Actress Mazar
EGO	A star may have a big one
BOSC	Pear variety
ETNA	European erupter
ODE	Poetic paean
OMIGOSH	"Yikes!"
MOTIF	Recurring theme
HARSH	Like Siberian winters
ADV	Adj. modifer
WIRY	Lean and strong
YEN	Asian capital?
OTOS	Siouan people
ARNIE	"L.A. Law" lawyer
RIPOSTE	Comeback
LOWEST	Best, on the links
SLATED	On the schedule
CCRIDER	Much-covered R & B song
CASINO	Slot spot
ENLIST	Beat the draft?
STASH	Secret supply
TEMPE	The Sun Devils' city
ASP	African serpent
ELI	"Boola Boola" singer
ELMO	A Sesame Streeter
LEAP	Jeté, e.g.
AFTERSHOCK	Like wave or treatment
ROAR	Crowd sound
CLOD	Doofus
KING	Double-decker checker
LEGIT	Kosher
IRE	Tick off
AMOI	Mine, in Marseille
SLID	Didn't have good traction
DYE	Do colorful work
MAHRE	Slalom champ Phil
SPAN	Reach across
TONY	American Theatre Wing award
OPTED	___ out (declined)
HERO	Submarine
EDGE	Just beat
