BOTH	The two together
BIN	Coal holder
ONE	Indivisible
TNT	Demolitionist's aid
HOPON	Biker's invitation to a friend
FIT	In fighting trim
FIORELLO	Former Big Apple mayor La Guardia
IMF	Global currency org.
TESTS	Lab jobs
NEVADA	Sparks's state
NUCLEI	Atomic centers
ENO	Brian of ambient music
VISTA	Scenic view
ASIAN	Like most Turks
DENTS	Body shop jobs
AXES	Graph lines
INNOTIME	Quick as a wink
TRENT	1545-63 council site
UNISEX	For all, as a restroom
NETPROFS	Online university staff?
COSINE	Trig function
OER	Anthem contraction
TEL	Phone no.
EEL	Moray, e.g.
TATS	Body designs, informally
TENNESSEETANS	What Nashville sunbathers acquire?
TABOR	Drum accompanying a fife
ELEVE	École attendee
SCAR	Emotionally damage
TEAL	Blue-green hue
PAL	One to hang with
PANE	Plexiglas piece
TLC	Special attention, for short
LIE	Golf ball's position
ABET	"Not on ___!"
TIC	Muscle spasm
LAM	Hasty escape
MSN	AOL alternative
ASTRO	Ballplayer with a 40-Down logo
SOT	W. C. Fields persona
TWOAM	Bar closing time, perhaps
REGIS	Philbin of live TV
ODOR	"P.U.!" inducer
NOVISORSALLOWED	Sign prohibiting sunshades?
STAR	See 34-Across
ACTS	"Hamlet" has five
LOWPITCH	Fastball in the dirt, say
ERECT	At attention
NCO	Sgt. or cpl.
TOGO	Like many fast-food orders
AIG	Bailed-out insurance co.
INJEST	Kiddingly
GEO	Prefix with thermal
TWP	Local govt. unit
PERIL	Jeopardy
AIR	Make public
LEARNERSPERMS	Salon jobs from apprentice stylists?
LAURA	Michelle's predecessor as first lady
ERROR	Goof
ABODE	"Humble" home
RECUR	Come back
RATER	Zagat, to restaurants
BARB	Zinging remark
BEEP	Microwave sound
JOE	Coffee, slangily
IRA	Nest egg letters
EUROPE	Where to find a piece of Turkey
PEN	Porker's pad
CUTITOUT	"Stop that!" ... and a hint to the answers to 17-, 23-, 39- and 52-Across
UNA	Old-time actress Merkel
OLA	Suffix with pay or plug
UEY	Driver's one-eighty
TOS	How-___ (handy books)
ERODES	Chips away at
UNCLELEO	Seinfeld's eccentric relative
PARENT	Many a Little League rooter
RAH	"Go team!"
RAYS	Sunbathers catch them
