ABS	Objects of core workouts
ALDA	Pierce player on TV
BIDDERCOLD	Why the eBay user was laid up?
SPELTOUT	Clarified, in England
ONASPREE	Carousing
ORNATE	Plain's opposite
NEONS	Some signs
ANNS	St. ___ Head Lighthouse (Welsh landmark)
STS	Blvds.
PRE	Historic leader?
RONZONI	Pasta brand
ELSAS	Style expert Klensch and others
ELEC	Engineering subj.
PODCAST	Certain audio download
PCT	Part of A.P.R.: Abbr.
ORO	Conquistador's plunder
DISLIKE	Aversion
CSPAN	"Washington Journal" airer
APART	Separated
SERGE	Suit material
TREED	In a tough position
SLIP	Goof
SUB	Hero
RENTROLL	Landlord's schedule
CRISPER	Refrigerator compartment
UDDERNONSENSE	Dairy frivolity?
ROADS	Pikes, e.g.
TOSPARE	Extra
BADLOANS	Default subjects
ZACH	"Scrubs" actor Braff
HANNITY	Fox News opinionator
LARGE	Living ___
ETATS	Dakota du Nord et du Sud, par exemple
LAOS	Mekong River locale
LADLE	Dish out
AIDS	Assists
ANOINTED	Chosen
NETHER	Infernal
OAHU	Home of Wheeler Army Airfield
STRODE	Moved with purpose
SLIGO	County next to Mayo
TONAL	Like the Chinese language
MAIN	Cardinal
MULCH	Gardener's bagful
SNEAK	Creep around
SOLED	Having a bottom
LOCUS	Place
PUDDINONTHERITZ	Creamy dessert atop a cracker, informally?
PANS	Oil receptacles
NEEDED	Obligatory
REHANG	Put back up
ILER	Robert of "The Sopranos"
TEAK	Patio furniture wood
ZEDS	Snore symbols in England
INOT	"How could ___?"
WALLS	Labyrinth parts
WAIVE	Relinquish
ELIHU	Root of government
ELEE	Gen. Robt. ___
GAL	Guy's date
DANCE	Monkey, pony or alligator
DREDD	Judge ___, Stallone title role
PEETE	QB Rodney
PAYER	Check writer
AHEAD	Leading
AMEND	Alter
OLDIRISH	Source of the word "clan"
INDEED	"Definitely!"
CADDYREMARKS	Advice for golfers?
CREELS	Anglers' baskets
EFILE	Submit tax returns via the Net
NEV	Home of the Excelsior Mts.
RYE	New York town with Playland amusement park
FEN	Swamp
SHUDDERSPEED	Measure of reaction to horror?
SEAL	Circus performer
HADA	"We ___ ball!"
USED	New's opposite
READER	Schoolbook
SENATES	Deliberative bodies
PLAYS	Halfback option and Hail Mary
GOINGFAR	Succeeding
GOATS	Sources of milk for chèvre cheese
ORCS	Tolkien monsters
FADDYACIDS	Trendy lab hazards?
ADAGE	Saw
RASED	Demolished, in Essex
EASED	Smoothed
EELER	Sushi supplier
WORLD	With 78-Across, stated desire of many a Miss America
WENDY	Fast-food eponym
ADA	Home to Ohio Northern University
ADEE	"Zip-___-Doo-Dah"
BANAL	Overused
BREE	"Desperate Housewives" role
PEACE	See 74-Across
PICA	12-point type
RDAS	Vitamin amts.
ROAREDAT	Really enjoyed, as a joke
LADDERDAYSAINTS	Guardians of a house painters' celebration?
EMITTED	Put out
ALLELES	Genotype determinants
DODGE	Evade
DROID	Intelligent bot
MEETS	Where races are won and lost
LCDS	Some TV screens
BRAYED	Acted like an ass
BOXERS	Some underwear
PREMIERE	Red carpet affair
PRADO	Place to see Goyas
RELAP	Pass once more
EVENT	Schedule listing
MERGE	Sign near a freeway entrance
CLAY	Adobe material
CENTO	Italian 100
TOORA	"___-Loo-Ra-Loo-Ral"
TIBET	"The roof of the world"
REVET	Support, as an embankment
SPEE	Losing admiral in the Battle of the Falkland Islands, 1914
POST	Assignment
DIXIECUP	Disposable bathroom item
DEVO	Rock group whose members wear red flowerpots on their heads
UNDO	Take back
PGS	Some film ratings
ALERTED	Tipped off
ELI	Clockmaker Terry
DON	Dress in
ONLINEBEDDING	Linens purchased through a Web site?
IPS	Tape player spec: Abbr.
NOP	Alphabet trio
DANGELO	Actress Beverly who played Patsy Cline in "Coal Miner's Daughter"
STEPOVER	Avoid, as a sleeping dog, maybe
ADDS	Annexes
OPTEDIN	Chose to participate
TOSSPOTS	Sponges
TSO	General on Chinese menus
